t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.67000,0.95993,0.17000,55.000
1,0.16303,0.68515,0.86047,0.18515,49.301
2,0.17940,0.69660,0.61047,0.19660,34.977
3,0.19810,0.70365,0.36047,0.20365,20.654
4,0.21792,0.70623,0.12942,0.20623,7.415
5,0.23781,0.70435,-0.09433,0.20435,-5.405
6,0.25716,0.69935,-0.25269,0.19935,-14.478
7,0.27659,0.69468,-0.23633,0.19468,-13.540
8,0.29599,0.68991,-0.24069,0.18991,-13.791
9,0.31474,0.68299,-0.35395,0.18299,-20.280
10,0.33350,0.67610,-0.35156,0.17610,-20.143
11,0.35174,0.66795,-0.42015,0.16795,-24.073
12,0.37070,0.66165,-0.32103,0.16165,-18.394
13,0.39021,0.65733,-0.21785,0.15733,-12.482
14,0.40930,0.65143,-0.29971,0.15143,-17.172
15,0.42880,0.64706,-0.22060,0.14706,-12.639
16,0.44834,0.64286,-0.21163,0.14286,-12.125
17,0.46766,0.63776,-0.25788,0.13776,-14.775
18,0.48669,0.63166,-0.31037,0.13166,-17.783
