model,final_lat,final_head_deg,max_excursion,rms_lat,in_bounds,mean_speed,speed_err
unicycle (oracle),0.0303,4.8534,0.0410,0.0337,1,0.1638,0.0362
ego (gray-box),0.0386,2.4622,0.0474,0.0396,1,0.2012,0.0012
grounded,0.0324,3.1221,0.0475,0.0375,1,0.1927,0.0073
residual JEPA (probe),0.1212,108.2296,0.1212,0.0703,1,0.0978,0.1022
