probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.1226,0.0866,0.0867,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0351,0.0251,0.0246,71.7702,62.1161,33.9456,0.9161,0.9192
mlp,0.0323,0.0238,0.0218,48.9289,30.7198,19.3217,0.9247,0.9366
