probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.1226,0.0866,0.0867,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0174,0.0129,0.0116,11.3810,9.1271,0.0478,0.9776,0.9822
mlp,0.0078,0.0055,0.0056,2.2386,1.9043,0.0000,0.9960,0.9958
