pose,d0,d1,d2,d3
x,0.9986,0.0236,0.2562,0.0026
y,0.0241,0.9986,-0.0288,0.2626
cos_th,0.2615,-0.0294,0.9969,0.0175
sin_th,0.0023,0.2607,0.0281,0.9969
