step,epoch,total,recon,dyn,pred_recon,var,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,0.6643290519714355,0.3224029242992401,0.0031533828005194664,0.3387727439403534,0.0,1.0,1.0,0.47507981210947037,0.4364340901374817,0.4245876669883728,0.4292551577091217,0.6100423336029053
100,1,0.3075103759765625,0.13570335507392883,0.001982311485335231,0.16982468962669373,0.0,1.0,1.0,0.4099794998764992,0.31557637453079224,0.3958384394645691,0.4097232520580292,0.5187799334526062
150,1,0.25847673416137695,0.11420773714780807,0.00199952838011086,0.14226947724819183,0.0,1.0,1.0,0.4137781709432602,0.2965776324272156,0.372795045375824,0.3989264965057373,0.5868135094642639
200,1,0.2649461030960083,0.1026291474699974,0.002144878963008523,0.16017208993434906,0.0,1.0,1.0,0.42216072231531143,0.29772186279296875,0.35440677404403687,0.44003984332084656,0.5964744091033936
250,1,0.23070690035820007,0.0861743837594986,0.002321441425010562,0.14221107959747314,0.0,1.0,1.0,0.4125046357512474,0.2774517834186554,0.3291514813899994,0.4386614263057709,0.604753851890564
300,1,0.2327612042427063,0.092642642557621,0.0020797071047127247,0.13803885877132416,0.0,1.0,1.0,0.4132508635520935,0.2714219391345978,0.3255052864551544,0.44508522748947144,0.6109910011291504
350,1,0.2625119090080261,0.10432462394237518,0.0021170945838093758,0.15607018768787384,0.0,1.0,1.0,0.4256303906440735,0.2902231812477112,0.3346182107925415,0.48093533515930176,0.5967448353767395
400,2,0.18070779740810394,0.07002544403076172,0.0022361199371516705,0.10844623297452927,0.0,1.0,1.0,0.41117049008607864,0.2637045979499817,0.32935309410095215,0.47348347306251526,0.5781407952308655
450,2,0.1770295649766922,0.07020147889852524,0.002368803136050701,0.10445928573608398,0.0,1.0,1.0,0.42664218693971634,0.2798200845718384,0.32448068261146545,0.4671815037727356,0.6350864768028259
500,2,0.1693180501461029,0.06574802845716476,0.0023364126682281494,0.10123361647129059,0.0,1.0,1.0,0.40501047670841217,0.2787274122238159,0.3120737671852112,0.4407338500022888,0.5885068774223328
550,2,0.16791850328445435,0.06538718938827515,0.002442103810608387,0.10008920729160309,0.0,1.0,1.0,0.42530640959739685,0.26487359404563904,0.3157348334789276,0.4773551821708679,0.6432620286941528
600,2,0.15077915787696838,0.05658145621418953,0.0020031228195875883,0.0921945869922638,0.0,1.0,1.0,0.434326134622097,0.2685614228248596,0.30188021063804626,0.5113525986671448,0.6555103063583374
650,2,0.1526806354522705,0.05798053741455078,0.0021077850833535194,0.09259232133626938,0.0,1.0,1.0,0.44112926721572876,0.2875412702560425,0.3106526732444763,0.5236635208129883,0.642659604549408
700,2,0.1492043435573578,0.05707171559333801,0.0021787332370877266,0.08995389938354492,0.0,1.0,1.0,0.4319089949131012,0.2660708725452423,0.29562100768089294,0.4840816259384155,0.681862473487854
750,2,0.1443580985069275,0.05639742687344551,0.002086939290165901,0.08587372303009033,0.0,1.0,1.0,0.4472767040133476,0.26180300116539,0.30083131790161133,0.5241158604621887,0.7023566365242004
800,3,0.13191811740398407,0.05312313139438629,0.0023433584719896317,0.0764516294002533,0.0,1.0,1.0,0.4426053985953331,0.28944873809814453,0.3066061735153198,0.4858500063419342,0.6885166764259338
850,3,0.14213034510612488,0.04998069256544113,0.0024730756413191557,0.08967657387256622,0.0,1.0,1.0,0.43840645253658295,0.27147310972213745,0.297620564699173,0.4892619550228119,0.6952701807022095
900,3,0.1328933984041214,0.0529448464512825,0.002067689783871174,0.077880859375,0.0,1.0,1.0,0.44988858699798584,0.2807427644729614,0.31049245595932007,0.5336277484893799,0.674691379070282
950,3,0.1308334469795227,0.0567600280046463,0.0021766144782304764,0.07189680635929108,0.0,1.0,1.0,0.4433774948120117,0.26650968194007874,0.30030322074890137,0.4957629144191742,0.7109341621398926
1000,3,0.1332537680864334,0.05273384600877762,0.0023553313221782446,0.07816459238529205,0.0,1.0,1.0,0.4640157148241997,0.27551284432411194,0.31176644563674927,0.5471093058586121,0.7216742634773254
1050,3,0.1293380856513977,0.049036283046007156,0.0023237664718180895,0.07797804474830627,0.0,1.0,1.0,0.45527031272649765,0.29409167170524597,0.3067336678504944,0.5443925261497498,0.6758633852005005
1100,3,0.13193944096565247,0.04472111165523529,0.0025330455973744392,0.08468528091907501,0.0,1.0,1.0,0.4540373235940933,0.27732205390930176,0.31444287300109863,0.5180565714836121,0.7063277959823608
1150,3,0.12874306738376617,0.049093663692474365,0.0025016414001584053,0.07714776694774628,0.0,1.0,1.0,0.4527439996600151,0.2678797245025635,0.30635371804237366,0.5180712938308716,0.7186712622642517
1200,4,0.130745992064476,0.048249054700136185,0.0023869876749813557,0.08010994642972946,0.0,1.0,1.0,0.45176154375076294,0.2944447696208954,0.30158260464668274,0.5107383728027344,0.7002804279327393
1250,4,0.12824983894824982,0.04534320533275604,0.002855919301509857,0.08005071431398392,0.0,1.0,1.0,0.4617750570178032,0.2839775085449219,0.29855772852897644,0.5489564538002014,0.715608537197113
1300,4,0.1360037475824356,0.0518379807472229,0.002463228302076459,0.08170253783464432,0.0,1.0,1.0,0.4490110017359257,0.24781371653079987,0.3088909983634949,0.5209949612617493,0.7183443307876587
1350,4,0.12936930358409882,0.045659005641937256,0.002189904684200883,0.08152039349079132,0.0,1.0,1.0,0.4510492533445358,0.28356948494911194,0.29410573840141296,0.5331056118011475,0.693416178226471
1400,4,0.11833740770816803,0.0443497896194458,0.0020497036166489124,0.0719379112124443,0.0,1.0,1.0,0.47390493750572205,0.2909889817237854,0.30849629640579224,0.5583973526954651,0.7377371191978455
1450,4,0.12569959461688995,0.04447764530777931,0.0023739365860819817,0.07884801179170609,0.0,1.0,1.0,0.46308498829603195,0.29140689969062805,0.2818591594696045,0.5584047436714172,0.720669150352478
1500,4,0.12299153208732605,0.044547177851200104,0.0021691538859158754,0.07627519965171814,0.0,1.0,1.0,0.45910757780075073,0.26491475105285645,0.30408042669296265,0.5715010762214661,0.6959340572357178
1550,4,0.1200176477432251,0.04490320384502411,0.0023532966151833534,0.07276114821434021,0.0,1.0,1.0,0.46371349692344666,0.2859398424625397,0.28919103741645813,0.5456637144088745,0.7340593934059143
1600,5,0.13044795393943787,0.04610980302095413,0.002271244302392006,0.08206691592931747,0.0,1.0,1.0,0.46705082803964615,0.2696652412414551,0.29392120242118835,0.5491182804107666,0.7554985880851746
1650,5,0.11953993141651154,0.04175898805260658,0.0024284962564706802,0.07535244524478912,0.0,1.0,1.0,0.4702022150158882,0.2923394739627838,0.3040045499801636,0.5308249592781067,0.7536398768424988
1700,5,0.11427956819534302,0.04129178076982498,0.002327315742149949,0.07066047191619873,0.0,1.0,1.0,0.4684331938624382,0.29638728499412537,0.301067054271698,0.5411844849586487,0.7350939512252808
1750,5,0.11632576584815979,0.045523710548877716,0.002378590404987335,0.06842346489429474,0.0,1.0,1.0,0.4768175408244133,0.30005425214767456,0.30554434657096863,0.5575942993164062,0.7440772652626038
1800,5,0.12669385969638824,0.04688487946987152,0.0025551572907716036,0.07725381851196289,0.0,1.0,1.0,0.46901603788137436,0.27687931060791016,0.30182114243507385,0.5566248893737793,0.7407388091087341
1850,5,0.1186278760433197,0.04570591449737549,0.0024612690322101116,0.07046069204807281,0.0,1.0,1.0,0.45847203582525253,0.274992436170578,0.2845536470413208,0.557877779006958,0.7164642810821533
1900,5,0.12278308719396591,0.047507401555776596,0.0027135638520121574,0.07256212085485458,0.0,1.0,1.0,0.47172850370407104,0.2868812084197998,0.29224181175231934,0.5635989308357239,0.7441920638084412
1950,6,0.11179697513580322,0.0413893386721611,0.002302741166204214,0.06810489296913147,0.0,1.0,1.0,0.4692141190171242,0.2840866148471832,0.30090606212615967,0.5445311069488525,0.7473326921463013
2000,6,0.12160803377628326,0.04326250031590462,0.00271526793949306,0.07563026994466782,0.0,1.0,1.0,0.4723993316292763,0.29221832752227783,0.3045221269130707,0.5823320150375366,0.71052485704422
2050,6,0.12586835026741028,0.04139489307999611,0.0026190003845840693,0.08185446262359619,0.0,1.0,1.0,0.4607197418808937,0.26466456055641174,0.2960076928138733,0.5252110958099365,0.7569956183433533
2100,6,0.11985321342945099,0.040794737637043,0.002880407962948084,0.07617806643247604,0.0,1.0,1.0,0.46288537234067917,0.2750679552555084,0.29208630323410034,0.5382556915283203,0.7461315393447876
2150,6,0.10988869518041611,0.0378364697098732,0.0024935000110417604,0.06955872476100922,0.0,1.0,1.0,0.475463330745697,0.3070177733898163,0.28518715500831604,0.5691894292831421,0.7404589653015137
2200,6,0.11353345215320587,0.04429812729358673,0.002763336058706045,0.06647198647260666,0.0,1.0,1.0,0.47403091192245483,0.26924213767051697,0.29335495829582214,0.5612072944641113,0.7723192572593689
2250,6,0.1097300574183464,0.03731951862573624,0.0022551477886736393,0.07015538960695267,0.0,1.0,1.0,0.47140201926231384,0.2614949345588684,0.3075181245803833,0.5482142567634583,0.7683807611465454
2300,6,0.11470510065555573,0.04267265647649765,0.0027744502294808626,0.06925799697637558,0.0,1.0,1.0,0.46296990662813187,0.2696831226348877,0.3015144169330597,0.5509595274925232,0.7297225594520569
2350,7,0.11291622370481491,0.0423697754740715,0.002477681264281273,0.06806876510381699,0.0,1.0,1.0,0.4773733913898468,0.2838694751262665,0.3053676187992096,0.575748085975647,0.7445083856582642
2400,7,0.1128121018409729,0.03659535199403763,0.002581945387646556,0.0736348032951355,0.0,1.0,1.0,0.466900996863842,0.2721710205078125,0.27878692746162415,0.5506627559661865,0.7659832835197449
2450,7,0.11038966476917267,0.03891758620738983,0.0020876594353467226,0.06938441842794418,0.0,1.0,1.0,0.46664388477802277,0.25689974427223206,0.308492511510849,0.5504254698753357,0.7507578134536743
2500,7,0.114906445145607,0.046696607023477554,0.0024405629374086857,0.06576927751302719,0.0,1.0,1.0,0.4820719361305237,0.2857474684715271,0.31038159132003784,0.5562767386436462,0.7758819460868835
2550,7,0.12376214563846588,0.05454456806182861,0.0027517133858054876,0.06646586954593658,0.0,1.0,1.0,0.4705951660871506,0.2867492139339447,0.289899080991745,0.52105313539505,0.7846792340278625
2600,7,0.10933367908000946,0.04412398487329483,0.0025416845455765724,0.06266801059246063,0.0,1.0,1.0,0.4763542637228966,0.2809320390224457,0.30054211616516113,0.5870546102523804,0.7368882894515991
2650,7,0.1053525060415268,0.036939822137355804,0.00216882792301476,0.06624385714530945,0.0,1.0,1.0,0.474815770983696,0.2848937511444092,0.3175404667854309,0.5541707277297974,0.7426581382751465
2700,7,0.10864503681659698,0.046718694269657135,0.002814463572576642,0.059111882001161575,0.0,1.0,1.0,0.481794036924839,0.2762472927570343,0.31087321043014526,0.5692323446273804,0.7708232998847961
2750,8,0.10507211089134216,0.0333743616938591,0.002385934116318822,0.06931181252002716,0.0,1.0,1.0,0.46237512677907944,0.2635376751422882,0.3054009675979614,0.5182833075523376,0.7622785568237305
2800,8,0.10268087685108185,0.0403677336871624,0.002228252124041319,0.06008489429950714,0.0,1.0,1.0,0.4711025133728981,0.26505041122436523,0.3070226013660431,0.543611466884613,0.768725574016571
2850,8,0.10992927104234695,0.04100913554430008,0.0025408482179045677,0.06637928634881973,0.0,1.0,1.0,0.4748523309826851,0.2743126153945923,0.29900434613227844,0.5460330247879028,0.7800593376159668
