step,epoch,total,recon,dyn,pred_recon,var,anchor,anchor_pred,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,1.1654263734817505,0.43174585700035095,0.0026429665740579367,0.44851788878440857,0.0,0.28251969814300537,0.0,1.0,1.0,0.4685675799846649,0.20766997337341309,0.2520012855529785,0.7268061637878418,0.6877928972244263
100,1,0.834657609462738,0.25488579273223877,0.0033203812781721354,0.2720158100128174,0.0,0.3044356107711792,0.0,1.0,1.0,0.4784999154508114,0.24318893253803253,0.26011529564857483,0.6868634223937988,0.7238320112228394
150,1,0.7746967077255249,0.22000017762184143,0.004600096959620714,0.24283528327941895,0.0,0.3072611689567566,0.0,1.0,1.0,0.47559960931539536,0.2427537888288498,0.2461356371641159,0.7230775952339172,0.6904314160346985
200,1,0.7060575485229492,0.19438524544239044,0.0028000464662909508,0.214764803647995,0.0,0.2941074073314667,0.0,1.0,1.0,0.4760720767080784,0.2344769388437271,0.254859983921051,0.702142059803009,0.7128093242645264
250,1,0.6447094678878784,0.18316484987735748,0.003333424450829625,0.1951916664838791,0.0,0.26301950216293335,0.0,1.0,1.0,0.47064944356679916,0.22350206971168518,0.25012433528900146,0.6962313652038574,0.7127400040626526
300,1,0.6256522536277771,0.16947630047798157,0.0037924654316157103,0.18302768468856812,0.0,0.26935580372810364,0.0,1.0,1.0,0.47623128071427345,0.23603595793247223,0.2596874237060547,0.7055580615997314,0.7036436796188354
350,1,0.6220746636390686,0.1557084172964096,0.0074636442586779594,0.1665336936712265,0.0,0.29236888885498047,0.0,1.0,1.0,0.4815687984228134,0.25459083914756775,0.2579348385334015,0.7198188304901123,0.6939306855201721
400,2,0.5835562348365784,0.1512807011604309,0.0029239740688353777,0.1605505347251892,0.0,0.2688010334968567,0.0,1.0,1.0,0.4823152646422386,0.2619606852531433,0.2599615752696991,0.6941547393798828,0.7131840586662292
450,2,0.5475904941558838,0.14323781430721283,0.00395563617348671,0.15292230248451233,0.0,0.24747470021247864,0.0,1.0,1.0,0.47099820896983147,0.2280517965555191,0.24261489510536194,0.7039491534233093,0.7093769907951355
500,2,0.5579870939254761,0.14355380833148956,0.004533814731985331,0.14937789738178253,0.0,0.26052162051200867,0.0,1.0,1.0,0.4805871471762657,0.24548575282096863,0.2611072063446045,0.695374608039856,0.7203810214996338
550,2,0.5341809391975403,0.13592985272407532,0.003341980744153261,0.1381819248199463,0.0,0.2567271590232849,0.0,1.0,1.0,0.4719969406723976,0.24269530177116394,0.22879868745803833,0.7080411911010742,0.708452582359314
600,2,0.5130069851875305,0.1228097528219223,0.004012745805084705,0.13626161217689514,0.0,0.24992285668849945,0.0,1.0,1.0,0.4811860918998718,0.2552802264690399,0.2554599344730377,0.6852209568023682,0.7287832498550415
650,2,0.47688621282577515,0.1206064224243164,0.003641149727627635,0.12659847736358643,0.0,0.22604016959667206,0.0,1.0,1.0,0.480642382055521,0.26271021366119385,0.24708707630634308,0.6937634944915771,0.71900874376297
700,2,0.49104043841362,0.11540868878364563,0.005280360579490662,0.12322338670492172,0.0,0.24712800979614258,0.0,1.0,1.0,0.4788287356495857,0.2510802447795868,0.2580674886703491,0.6811643242835999,0.7250028848648071
750,2,0.5027589201927185,0.11809690296649933,0.007855886593461037,0.1258525848388672,0.0,0.2509535551071167,0.0,1.0,1.0,0.4870334193110466,0.28160715103149414,0.2526572644710541,0.6956552267074585,0.7182140350341797
800,3,0.46635353565216064,0.11416834592819214,0.00405492540448904,0.12315323948860168,0.0,0.2249770164489746,0.0,1.0,1.0,0.48672810941934586,0.27122291922569275,0.2601950764656067,0.7040174007415771,0.7114770412445068
850,3,0.42127525806427,0.1061500757932663,0.007535535842180252,0.11483077704906464,0.0,0.19275887310504913,0.0,1.0,1.0,0.4803684614598751,0.27272263169288635,0.24238939583301544,0.7445641756057739,0.6617976427078247
900,3,0.48781171441078186,0.10358055680990219,0.003882694523781538,0.1166360080242157,0.0,0.26371246576309204,0.0,1.0,1.0,0.47549085691571236,0.25133806467056274,0.23407085239887238,0.6980330944061279,0.7185214161872864
950,3,0.4446796178817749,0.09803572297096252,0.006394125986844301,0.10770028829574585,0.0,0.2325495034456253,0.0,1.0,1.0,0.4713846519589424,0.24942417442798615,0.2282869964838028,0.7010193467140198,0.7068080902099609
1000,3,0.3981715738773346,0.10017085820436478,0.0064866673201322556,0.1156136691570282,0.0,0.17590036988258362,0.0,1.0,1.0,0.4782085344195366,0.25342679023742676,0.24651315808296204,0.6958774328231812,0.7170167565345764
1050,3,0.4269823431968689,0.10911813378334045,0.004733115900307894,0.11366493999958038,0.0,0.19946615397930145,0.0,1.0,1.0,0.47002246230840683,0.25126996636390686,0.22390961647033691,0.7029577493667603,0.7019525170326233
1100,3,0.4189193546772003,0.09923233836889267,0.004660762846469879,0.11404040455818176,0.0,0.200985848903656,0.0,1.0,1.0,0.4762670248746872,0.2559698224067688,0.2348828911781311,0.700862467288971,0.7133529186248779
1150,3,0.4432663917541504,0.10827581584453583,0.009175766259431839,0.1203528344631195,0.0,0.20546197891235352,0.0,1.0,1.0,0.4745204448699951,0.2513701617717743,0.24311396479606628,0.7023603916168213,0.7012372612953186
1200,4,0.4186834394931793,0.10130724310874939,0.0036213353741914034,0.11193956434726715,0.0,0.20181530714035034,0.0,1.0,1.0,0.4711153544485569,0.25007736682891846,0.23337925970554352,0.6861363649368286,0.714868426322937
1250,4,0.41627052426338196,0.10006880760192871,0.005381412338465452,0.11005571484565735,0.0,0.20076459646224976,0.0,1.0,1.0,0.4736279733479023,0.2609424889087677,0.22277431190013885,0.7175955176353455,0.6931995749473572
1300,4,0.4455089569091797,0.1122850775718689,0.006374518387019634,0.1255313903093338,0.0,0.2013179510831833,0.0,1.0,1.0,0.4751800186932087,0.26078543066978455,0.22899137437343597,0.6751308441162109,0.7358124256134033
1350,4,0.41425299644470215,0.0975169986486435,0.0057716588489711285,0.10916009545326233,0.0,0.2018042504787445,0.0,1.0,1.0,0.473490871489048,0.2519169747829437,0.23109686374664307,0.6901894211769104,0.7207602262496948
1400,4,0.4194108843803406,0.09916192293167114,0.006092058029025793,0.11436837911605835,0.0,0.19978851079940796,0.0,1.0,1.0,0.47093816101551056,0.2420826256275177,0.2303638756275177,0.7134348154067993,0.6978713274002075
1450,4,0.37695080041885376,0.09530584514141083,0.004362083971500397,0.10873936861753464,0.0,0.1685435175895691,0.0,1.0,1.0,0.4720452055335045,0.24851612746715546,0.22376380860805511,0.7229517102241516,0.6929491758346558
1500,4,0.43977633118629456,0.12120404094457626,0.004834678024053574,0.12512660026550293,0.0,0.1886110007762909,0.0,1.0,1.0,0.4760242961347103,0.25957798957824707,0.23026256263256073,0.7240277528762817,0.6902288794517517
1550,4,0.4101446270942688,0.10694565623998642,0.008148927241563797,0.11167505383491516,0.0,0.18337500095367432,0.0,1.0,1.0,0.4691154323518276,0.24947784841060638,0.21255183219909668,0.7211898565292358,0.6932421922683716
1600,5,0.36656302213668823,0.09835125505924225,0.004250980913639069,0.10889066755771637,0.0,0.15507011115550995,0.0,1.0,1.0,0.4762863703072071,0.2699369192123413,0.21975578367710114,0.6830241680145264,0.7324286103248596
1650,5,0.374045729637146,0.10051163285970688,0.009238556027412415,0.10367762297391891,0.0,0.1606179177761078,0.0,1.0,1.0,0.47243736684322357,0.25483834743499756,0.2207745909690857,0.7058407068252563,0.7082958221435547
1700,5,0.39268141984939575,0.09521715342998505,0.007661451119929552,0.10628841817378998,0.0,0.18351438641548157,0.0,1.0,1.0,0.46821124479174614,0.2465687096118927,0.21454878151416779,0.6770688891410828,0.7346585988998413
1750,5,0.36830079555511475,0.09647925943136215,0.006283314432948828,0.10834232717752457,0.0,0.15719591081142426,0.0,1.0,1.0,0.47442570328712463,0.2557581961154938,0.22608205676078796,0.7179650068283081,0.6978975534439087
1800,5,0.37667810916900635,0.1010034903883934,0.00906591396778822,0.10575896501541138,0.0,0.16084973514080048,0.0,1.0,1.0,0.4693790599703789,0.2602185606956482,0.2029624879360199,0.7219663262367249,0.6923688650131226
1850,5,0.4028245210647583,0.11174555867910385,0.008380118757486343,0.11191082745790482,0.0,0.1707880198955536,0.0,1.0,1.0,0.4749111719429493,0.26533934473991394,0.2176184505224228,0.7092918157577515,0.707395076751709
1900,5,0.37291020154953003,0.11780360341072083,0.008990711532533169,0.12136442959308624,0.0,0.12475146353244781,0.0,1.0,1.0,0.4726749584078789,0.2654261887073517,0.23395133018493652,0.6782944798469543,0.713027834892273
1950,6,0.3468116521835327,0.09951749444007874,0.008690161630511284,0.10791143774986267,0.0,0.13069257140159607,0.0,1.0,1.0,0.4728176221251488,0.2628554403781891,0.2120068073272705,0.6892122626304626,0.7271959781646729
2000,6,0.3628312945365906,0.09998657554388046,0.009839626029133797,0.11185625195503235,0.0,0.14114883542060852,0.0,1.0,1.0,0.4750475101172924,0.2595069408416748,0.23314355313777924,0.7089987993240356,0.6985407471656799
2050,6,0.34288811683654785,0.1072399914264679,0.011193539947271347,0.1102304458618164,0.0,0.1142241507768631,0.0,1.0,1.0,0.4784470833837986,0.26325559616088867,0.23528309166431427,0.7223085761070251,0.6929410696029663
2100,6,0.36724159121513367,0.11044085770845413,0.010245864279568195,0.11127637326717377,0.0,0.13527849316596985,0.0,1.0,1.0,0.4722887650132179,0.25896531343460083,0.2241327464580536,0.721778929233551,0.6842780709266663
2150,6,0.3324950635433197,0.09693226218223572,0.011088999919593334,0.10524506866931915,0.0,0.11922874301671982,0.0,1.0,1.0,0.4757218323647976,0.2686605155467987,0.2237304002046585,0.7125943899154663,0.6979020237922668
2200,6,0.3191991448402405,0.10620880872011185,0.005674965213984251,0.11211824417114258,0.0,0.09519712626934052,0.0,1.0,1.0,0.47107861191034317,0.2617121636867523,0.20683342218399048,0.7317631244659424,0.6840057373046875
2250,6,0.2902190387248993,0.09785294532775879,0.007447519339621067,0.10334009677171707,0.0,0.08157848566770554,0.0,1.0,1.0,0.47804297506809235,0.26039767265319824,0.23808139562606812,0.74480140209198,0.668891429901123
