probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0459,0.0325,0.0324,59.7053,46.5217,25.1651,0.9793,0.9786
mlp,0.0398,0.0290,0.0272,58.9563,46.2912,24.1012,0.9835,0.9849
