pose,d0,d1,d2,d3
x,0.9981,0.0373,0.3719,-0.0035
y,0.0342,0.9980,-0.0013,0.3865
cos_th,0.3619,-0.0049,0.9995,0.0252
sin_th,-0.0016,0.3761,0.0313,0.9994
