t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18040,0.52599,0.70731,0.02599,40.526
2,0.21461,0.54673,0.54490,0.04673,31.221
3,0.25049,0.56441,0.45787,0.06441,26.234
4,0.28918,0.57457,0.25696,0.07457,14.723
5,0.32899,0.57847,0.09770,0.07847,5.598
6,0.36899,0.57875,0.00692,0.07875,0.396
7,0.40885,0.57548,-0.08193,0.07548,-4.694
8,0.44861,0.57110,-0.10975,0.07110,-6.288
9,0.48848,0.56781,-0.08219,0.06781,-4.709
10,0.52824,0.56349,-0.10829,0.06349,-6.205
11,0.56787,0.55804,-0.13661,0.05804,-7.827
12,0.60773,0.55468,-0.08412,0.05468,-4.819
13,0.64770,0.55306,-0.04051,0.05306,-2.321
14,0.68761,0.55051,-0.06375,0.05051,-3.653
15,0.72761,0.54985,-0.01655,0.04985,-0.948
16,0.76761,0.54936,-0.01221,0.04936,-0.699
17,0.80760,0.54848,-0.02208,0.04848,-1.265
18,0.84759,0.54803,-0.01119,0.04803,-0.641
