t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.17978,0.52670,0.73083,0.02670,41.873
2,0.21283,0.54923,0.59838,0.04923,34.285
3,0.24943,0.56538,0.41554,0.06538,23.809
4,0.28836,0.57456,0.23149,0.07456,13.263
5,0.32832,0.57645,0.04747,0.07645,2.720
6,0.36809,0.57223,-0.10585,0.07223,-6.065
7,0.40796,0.56891,-0.08298,0.06891,-4.755
8,0.44780,0.56534,-0.08941,0.06534,-5.123
9,0.48758,0.56120,-0.10382,0.06120,-5.948
10,0.52720,0.55568,-0.13822,0.05568,-7.920
11,0.56697,0.55138,-0.10775,0.05138,-6.174
12,0.60685,0.54832,-0.07664,0.04832,-4.391
13,0.64666,0.54439,-0.09829,0.04439,-5.632
14,0.68638,0.53973,-0.11692,0.03973,-6.699
15,0.72603,0.53444,-0.13255,0.03444,-7.595
16,0.76567,0.52905,-0.13525,0.02905,-7.749
17,0.80540,0.52439,-0.11660,0.02439,-6.681
18,0.84524,0.52083,-0.08924,0.02083,-5.113
