t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18030,0.52612,0.71139,0.02612,40.760
2,0.21441,0.54701,0.54952,0.04701,31.485
3,0.25056,0.56412,0.44223,0.06412,25.338
4,0.28938,0.57378,0.24366,0.07378,13.961
5,0.32924,0.57707,0.08256,0.07707,4.730
6,0.36924,0.57651,-0.01408,0.07651,-0.807
7,0.40907,0.57279,-0.09322,0.07279,-5.341
8,0.44884,0.56851,-0.10705,0.06851,-6.133
9,0.48866,0.56471,-0.09511,0.06471,-5.449
10,0.52835,0.55976,-0.12417,0.05976,-7.114
11,0.56792,0.55395,-0.14583,0.05395,-8.355
12,0.60772,0.54993,-0.10060,0.04993,-5.764
13,0.64761,0.54693,-0.07514,0.04693,-4.305
14,0.68741,0.54299,-0.09862,0.04299,-5.650
15,0.72728,0.53973,-0.08159,0.03973,-4.675
16,0.76715,0.53646,-0.08173,0.03646,-4.683
17,0.80705,0.53365,-0.07030,0.03365,-4.028
18,0.84699,0.53141,-0.05623,0.03141,-3.222
