t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.65000,1.04720,0.15000,60.000
1,0.16562,0.68682,1.16950,0.18682,67.007
2,0.17656,0.72530,1.29401,0.22530,74.141
3,0.17763,0.76529,1.54400,0.26529,88.465
4,0.16877,0.80429,1.79400,0.30429,102.789
5,0.15096,0.84011,2.03232,0.34011,116.443
6,0.12484,0.87040,2.28232,0.37040,130.767
7,0.10015,0.90187,2.23603,0.40187,128.115
8,0.08402,0.93847,1.98603,0.43847,113.791
9,0.07731,0.97791,1.73931,0.47791,99.655
10,0.08056,1.01778,1.48932,0.51778,85.332
11,0.08937,1.05679,1.34870,0.55679,77.275
12,0.09982,1.09541,1.30663,0.59541,74.864
13,0.11541,1.13224,1.17023,0.63224,67.049
14,0.13484,1.16720,1.06362,0.66720,60.941
15,0.15894,1.19913,0.92428,0.69913,52.957
16,0.18666,1.22797,0.80509,0.72797,46.128
17,0.21731,1.25367,0.69791,0.75367,39.988
18,0.25106,1.27514,0.56654,0.77514,32.460
