t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.65000,1.04720,0.15000,60.000
1,0.16554,0.68686,1.17172,0.18686,67.134
2,0.17761,0.72499,1.26435,0.22499,72.442
3,0.17987,0.76493,1.51435,0.26493,86.766
4,0.17217,0.80418,1.76435,0.30418,101.090
5,0.15501,0.84032,2.01415,0.34032,115.402
6,0.12945,0.87108,2.26411,0.37108,129.724
7,0.10320,0.90126,2.28662,0.40126,131.013
8,0.08523,0.93700,2.03662,0.43700,116.689
9,0.07207,0.97477,1.90611,0.47477,109.212
10,0.06865,1.01463,1.65656,0.51463,94.914
11,0.07404,1.05426,1.43565,0.55426,82.256
12,0.08382,1.09305,1.32370,0.59305,75.842
13,0.10001,1.12962,1.15401,0.62962,66.120
14,0.12042,1.16402,1.03528,0.66402,59.317
15,0.14554,1.19515,0.89179,0.69515,51.096
16,0.17450,1.22275,0.76139,0.72275,43.624
17,0.20663,1.24657,0.63792,0.74657,36.550
18,0.24136,1.26643,0.51951,0.76643,29.766
