t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18044,0.52595,0.70606,0.02595,40.454
2,0.21495,0.54618,0.53013,0.04618,30.374
3,0.25147,0.56250,0.42027,0.06250,24.080
4,0.29048,0.57134,0.22295,0.07134,12.774
5,0.33036,0.57441,0.07686,0.07441,4.404
6,0.37036,0.57399,-0.01057,0.07399,-0.606
7,0.41003,0.56890,-0.12764,0.06890,-7.313
8,0.44954,0.56265,-0.15693,0.06265,-8.991
9,0.48923,0.55765,-0.12529,0.05765,-7.179
10,0.52875,0.55152,-0.15395,0.05152,-8.821
11,0.56806,0.54409,-0.18663,0.04409,-10.693
12,0.60765,0.53843,-0.14216,0.03843,-8.145
13,0.64751,0.53506,-0.08435,0.03506,-4.833
14,0.68730,0.53090,-0.10402,0.03090,-5.960
15,0.72720,0.52818,-0.06818,0.02818,-3.907
16,0.76711,0.52548,-0.06752,0.02548,-3.869
17,0.80701,0.52270,-0.06947,0.02270,-3.980
18,0.84696,0.52053,-0.05430,0.02053,-3.111
