step,epoch,total,recon,dyn,pred_recon,var,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,1.8339035511016846,0.7694171667098999,0.01521010510623455,0.8224666714668274,0.08991856127977371,1.0,1.0,0.0006858806621626596,6.371873584321008e-10,6.032468361644172e-13,0.002566930605098605,0.00017659140576142818
100,2,1.7781455516815186,0.7308491468429565,0.013800790533423424,0.8199460506439209,0.08934252709150314,1.0,1.0,0.0020420666229450774,5.980185235898716e-10,8.705722774615676e-13,0.007696314714848995,0.0004719511780422181
150,2,1.203786015510559,0.38778263330459595,0.025061871856451035,0.5203847289085388,0.04500000178813934,1.0,1.0,0.20832727987694033,4.764744687690836e-07,5.89111115445462e-09,0.6233632564544678,0.20994538068771362
200,3,1.0933105945587158,0.3045845627784729,0.031750038266181946,0.4628811478614807,0.008344406262040138,1.0,1.0,0.3485720381140709,0.14945709705352783,0.0658676028251648,0.7488074898719788,0.4301559627056122
250,3,0.9619828462600708,0.21037666499614716,0.0455176867544651,0.2964293360710144,0.0,1.0,1.0,0.44158729538321495,0.34179773926734924,0.12439705431461334,0.7548065185546875,0.5453478693962097
300,4,0.8419312238693237,0.1986784189939499,0.04049422964453697,0.2383105307817459,0.0,1.0,1.0,0.44414959475398064,0.31937021017074585,0.1590210646390915,0.723689615726471,0.5745174884796143
350,4,0.7110360264778137,0.21780866384506226,0.02217363938689232,0.2702486217021942,0.0012423470616340637,1.0,1.0,0.21970037929713726,0.2568557560443878,0.1814928650856018,0.0945030078291893,0.3459498882293701
400,5,0.6832258105278015,0.17051084339618683,0.025252491235733032,0.26019006967544556,0.0,1.0,1.0,0.2389619369059801,0.24099326133728027,0.2535947263240814,0.11666188389062881,0.34459787607192993
450,5,0.6214402914047241,0.1750568449497223,0.021752674132585526,0.22885671257972717,0.0,1.0,1.0,0.20931966230273247,0.21448230743408203,0.21417276561260223,0.1543092131614685,0.2543143630027771
500,6,0.6024779081344604,0.1715824007987976,0.021912124007940292,0.21177423000335693,0.0,1.0,1.0,0.21909843385219574,0.2214444875717163,0.19571234285831451,0.20493076741695404,0.2543061375617981
550,6,0.6295877695083618,0.1811482161283493,0.02289869636297226,0.21945257484912872,0.0,1.0,1.0,0.2213996686041355,0.21380417048931122,0.18073658645153046,0.27796587347984314,0.21309204399585724
600,7,0.6912800073623657,0.20134204626083374,0.025697708129882812,0.23296087980270386,0.0,1.0,1.0,0.20873044058680534,0.21329371631145477,0.15928688645362854,0.3388783037662506,0.12346285581588745
650,8,0.6720735430717468,0.18534958362579346,0.02500823140144348,0.23664164543151855,0.0,1.0,1.0,0.21824665181338787,0.24960710108280182,0.1530970335006714,0.3562799394130707,0.1140025332570076
700,8,0.6710661053657532,0.19762460887432098,0.0199475958943367,0.2739655375480652,0.0,1.0,1.0,0.1910073682665825,0.2677864730358124,0.135149747133255,0.2292931079864502,0.13180014491081238
750,9,0.6030756831169128,0.17591121792793274,0.019247159361839294,0.23469288647174835,0.0,1.0,1.0,0.22228657081723213,0.2845459282398224,0.15781329572200775,0.2391538769006729,0.20763318240642548
800,9,0.6628376245498657,0.17602010071277618,0.02066827565431595,0.28013479709625244,0.0,1.0,1.0,0.200673159211874,0.2660585939884186,0.1565738022327423,0.13833372294902802,0.24172651767730713
850,10,0.592192530632019,0.16821375489234924,0.01994774490594864,0.22234171628952026,0.0021596234291791916,1.0,1.0,0.19959694147109985,0.27415499091148376,0.17799048125743866,0.0908125787973404,0.2554297149181366
900,10,0.6365654468536377,0.17421545088291168,0.02338111400604248,0.22555939853191376,0.0029794760048389435,1.0,1.0,0.1984777320176363,0.22423672676086426,0.19193844497203827,0.08751260489225388,0.2902231514453888
950,11,0.67024827003479,0.19283603131771088,0.020571697503328323,0.2655971050262451,0.006098123267292976,1.0,1.0,0.17444237135350704,0.20859374105930328,0.1853017359972,0.07494328171014786,0.22893072664737701
1000,11,0.588750422000885,0.17629897594451904,0.019656602293252945,0.21588543057441711,0.0,1.0,1.0,0.18513655476272106,0.20412209630012512,0.23569248616695404,0.10611533373594284,0.19461630284786224
1050,12,0.6181967258453369,0.17117956280708313,0.020262107253074646,0.24439607560634613,0.0,1.0,1.0,0.17982974462211132,0.2196500152349472,0.26826441287994385,0.10112663358449936,0.13027791678905487
1100,12,0.5535993576049805,0.15268287062644958,0.019150305539369583,0.20941345393657684,0.0,1.0,1.0,0.1713559441268444,0.20672518014907837,0.24777160584926605,0.11835844814777374,0.11256854236125946
1150,13,0.5427861213684082,0.14727523922920227,0.01764308661222458,0.21908003091812134,0.0,1.0,1.0,0.18073007091879845,0.23351259529590607,0.25324544310569763,0.12982866168022156,0.10633358359336853
1200,14,0.5111824870109558,0.1435435265302658,0.01669955626130104,0.2006434202194214,0.0,1.0,1.0,0.183946892619133,0.23707640171051025,0.2624345123767853,0.13023436069488525,0.1060422956943512
1250,14,0.5098431706428528,0.1392911672592163,0.01827360689640045,0.18781593441963196,0.0,1.0,1.0,0.18583612516522408,0.23832036554813385,0.24665144085884094,0.14425060153007507,0.11412209272384644
1300,15,0.5024772882461548,0.13834434747695923,0.017607806250452995,0.1880548596382141,0.0,1.0,1.0,0.19133597612380981,0.22443880140781403,0.2512666881084442,0.15800778567790985,0.13163062930107117
1350,15,0.5220818519592285,0.13145820796489716,0.020150749012827873,0.18911615014076233,0.0,1.0,1.0,0.20705653727054596,0.2382657378911972,0.250898540019989,0.17397360503673553,0.16508826613426208
1400,16,0.5243217349052429,0.1326972246170044,0.021074704825878143,0.1808774471282959,0.0,1.0,1.0,0.19787120074033737,0.24050673842430115,0.23629827797412872,0.17599701881408691,0.1386827677488327
1450,16,0.493696004152298,0.13210594654083252,0.018985910341143608,0.17173096537590027,0.0,1.0,1.0,0.21462999656796455,0.2394149750471115,0.23101390898227692,0.18698439002037048,0.2011067122220993
1500,17,0.5469982028007507,0.14045880734920502,0.02203097939491272,0.18622958660125732,0.0,1.0,1.0,0.23447855189442635,0.24945177137851715,0.21881894767284393,0.2068057507276535,0.2628377377986908
1550,17,0.5478146076202393,0.13718950748443604,0.022935010492801666,0.18127501010894775,0.0,1.0,1.0,0.22494547441601753,0.2320290505886078,0.2244751751422882,0.2094491422176361,0.23382852971553802
1600,18,0.5408986210823059,0.14904627203941345,0.020911207422614098,0.18274027109146118,0.0,1.0,1.0,0.2320428043603897,0.2476426362991333,0.21204309165477753,0.23119814693927765,0.23728734254837036
1650,18,0.4867026209831238,0.1288110315799713,0.018239878118038177,0.17549282312393188,0.0,1.0,1.0,0.24774137511849403,0.2416316568851471,0.20875631272792816,0.2219773232936859,0.31860020756721497
1700,19,0.7318558096885681,0.1492723822593689,0.03745775669813156,0.2080058455467224,0.0,1.0,1.0,0.24917306005954742,0.22667528688907623,0.2002914696931839,0.25085577368736267,0.3188697099685669
1750,20,0.5329207181930542,0.16928747296333313,0.017750758677721024,0.18612563610076904,0.0,1.0,1.0,0.21590754017233849,0.24803712964057922,0.19370178878307343,0.18009896576404572,0.24179227650165558
1800,20,0.5163498520851135,0.12817053496837616,0.02037702687084675,0.18440906703472137,0.0,1.0,1.0,0.24517829716205597,0.2500304579734802,0.22258572280406952,0.21707631647586823,0.2910206913948059
1850,21,0.5181636810302734,0.1316092163324356,0.02017538994550705,0.18480053544044495,0.0,1.0,1.0,0.2755918726325035,0.25321313738822937,0.2236521989107132,0.24807842075824738,0.3774237334728241
1900,21,0.8198607563972473,0.16014692187309265,0.04575347900390625,0.20217901468276978,0.0,1.0,1.0,0.3846787363290787,0.2450179010629654,0.22000454366207123,0.43529725074768066,0.6383952498435974
1950,22,0.5014863610267639,0.14451199769973755,0.018993159756064415,0.1670427769422531,0.0,1.0,1.0,0.2532433792948723,0.26079437136650085,0.22601550817489624,0.15392634272575378,0.37223729491233826
2000,22,0.5329756736755371,0.1330120861530304,0.022488020360469818,0.17508341372013092,0.0,1.0,1.0,0.2916482351720333,0.25015899538993835,0.24745818972587585,0.22910131514072418,0.43987444043159485
2050,23,0.5777533054351807,0.12787523865699768,0.028089048340916634,0.16898757219314575,0.0,1.0,1.0,0.28013456985354424,0.24344876408576965,0.23689936101436615,0.21512100100517273,0.4250691533088684
2100,23,0.523881733417511,0.1383102834224701,0.02144814282655716,0.1710900068283081,0.0,1.0,1.0,0.283320564776659,0.24933931231498718,0.24267341196537018,0.2613464295864105,0.37992310523986816
2150,24,0.6427665948867798,0.1647561937570572,0.028536800295114517,0.19264239072799683,0.0,1.0,1.0,0.3369569666683674,0.24463461339473724,0.26032325625419617,0.3667422831058502,0.4761277139186859
2200,24,0.6576140522956848,0.1349421739578247,0.033827751874923706,0.18439435958862305,0.0,1.0,1.0,0.3805604949593544,0.2590075731277466,0.25591081380844116,0.4747879207134247,0.5325356721878052
2250,25,0.8742465972900391,0.15044087171554565,0.0531255379319191,0.19255036115646362,0.0,1.0,1.0,0.4197069853544235,0.2589414119720459,0.2588239908218384,0.5104556679725647,0.6506068706512451
2300,25,0.7115355134010315,0.1554846614599228,0.037300266325473785,0.18304817378520966,0.0,1.0,1.0,0.40732403099536896,0.26988309621810913,0.2644385099411011,0.4700194001197815,0.6249551177024841
2350,26,0.7026221752166748,0.14635606110095978,0.03839699923992157,0.17229613661766052,0.0,1.0,1.0,0.4241962283849716,0.2567736506462097,0.2786986827850342,0.5491006374359131,0.6122119426727295
2400,27,0.6079343557357788,0.13853752613067627,0.02987632155418396,0.17063361406326294,0.0,1.0,1.0,0.43143460154533386,0.27164971828460693,0.27274763584136963,0.5065364837646484,0.6748045682907104
2450,27,0.5843613147735596,0.1288873851299286,0.02867261692881584,0.16874773800373077,0.0,1.0,1.0,0.46054044365882874,0.26906952261924744,0.26766636967658997,0.5711185932159424,0.7343072891235352
2500,28,0.581512987613678,0.11971616744995117,0.030770353972911835,0.15409326553344727,0.0,1.0,1.0,0.460630364716053,0.28677257895469666,0.26554447412490845,0.5317239165306091,0.7584804892539978
