probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.2990,0.2141,0.2087,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0669,0.0475,0.0472,4.1830,3.0671,0.0775,0.9505,0.9489
mlp,0.0312,0.0215,0.0225,3.6848,2.6002,0.0775,0.9898,0.9883
