probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0452,0.0308,0.0331,58.6481,44.9154,24.0004,0.9814,0.9777
mlp,0.0375,0.0253,0.0276,24.1899,17.0462,3.1731,0.9874,0.9844
