pose,d0,d1,d2,d3
x,-0.1778,0.0863,-0.1330,-0.3496
y,0.0288,0.1192,0.1138,0.0068
cos_th,-0.0279,-0.0651,0.0240,-0.6222
sin_th,0.2997,-0.1062,-0.3224,-0.0940
