t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16076,0.50974,0.73552,0.00974,42.142
2,0.17317,0.51879,0.63013,0.01879,36.104
3,0.18673,0.52624,0.50250,0.02624,28.791
4,0.19982,0.53179,0.40112,0.03179,22.983
5,0.21569,0.53692,0.31265,0.03692,17.913
6,0.23224,0.54026,0.19901,0.04026,11.403
7,0.24904,0.54231,0.12139,0.04231,6.955
8,0.26632,0.54314,0.04833,0.04314,2.769
9,0.28393,0.54357,0.02439,0.04357,1.397
10,0.30112,0.54356,-0.00098,0.04356,-0.056
11,0.31765,0.54310,-0.02795,0.04310,-1.602
12,0.33532,0.54259,-0.02864,0.04259,-1.641
13,0.35291,0.54189,-0.03963,0.04189,-2.271
14,0.37030,0.54064,-0.07200,0.04064,-4.126
15,0.38839,0.53907,-0.08659,0.03907,-4.962
16,0.40657,0.53769,-0.07576,0.03769,-4.340
17,0.42389,0.53633,-0.07817,0.03633,-4.479
18,0.44138,0.53508,-0.07143,0.03508,-4.092
