t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16121,0.50988,0.72225,0.00988,41.382
2,0.17867,0.52104,0.56889,0.02104,32.595
3,0.19356,0.52751,0.40988,0.02751,23.484
4,0.20775,0.53250,0.33806,0.03250,19.370
5,0.22511,0.53677,0.24127,0.03677,13.824
6,0.24312,0.53983,0.16801,0.03983,9.626
7,0.26051,0.54112,0.07403,0.04112,4.242
8,0.27679,0.54140,0.01769,0.04140,1.014
9,0.29155,0.54141,0.00052,0.04141,0.030
10,0.30765,0.54135,-0.00401,0.04135,-0.230
11,0.32365,0.54136,0.00078,0.04136,0.045
12,0.34106,0.54173,0.02117,0.04173,1.213
13,0.35839,0.54215,0.02410,0.04215,1.381
14,0.37595,0.54215,0.00043,0.04215,0.024
15,0.39451,0.54221,0.00329,0.04221,0.189
16,0.41303,0.54236,0.00781,0.04236,0.448
17,0.43105,0.54210,-0.01455,0.04210,-0.833
18,0.44960,0.54167,-0.02281,0.04167,-1.307
