t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16317,0.51184,0.73221,0.01184,41.952
2,0.17770,0.52241,0.62897,0.02241,36.037
3,0.19394,0.53114,0.49311,0.03114,28.253
4,0.20906,0.53733,0.38889,0.03733,22.282
5,0.22712,0.54288,0.29777,0.04288,17.061
6,0.24617,0.54641,0.18322,0.04641,10.498
7,0.26572,0.54828,0.09537,0.04828,5.465
8,0.28513,0.54853,0.01317,0.04853,0.755
9,0.30488,0.54829,-0.01202,0.04829,-0.689
10,0.32444,0.54761,-0.03494,0.04761,-2.002
11,0.34368,0.54659,-0.05306,0.04659,-3.040
12,0.36394,0.54547,-0.05525,0.04547,-3.166
13,0.38402,0.54423,-0.06152,0.04423,-3.525
14,0.40371,0.54237,-0.09410,0.04237,-5.391
15,0.42423,0.54006,-0.11205,0.04006,-6.420
16,0.44441,0.53798,-0.10275,0.03798,-5.887
17,0.46400,0.53583,-0.10945,0.03583,-6.271
18,0.48385,0.53386,-0.09913,0.03386,-5.680
