probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.1226,0.0866,0.0867,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0140,0.0103,0.0096,10.6653,8.4394,0.0022,0.9858,0.9878
mlp,0.0107,0.0064,0.0085,2.5159,2.1250,0.0000,0.9946,0.9903
