step,epoch,recon,dyn,pred_recon,var,anchor,anchor_pred,total,latent_std
50,1,0.6035938262939453,0.0168745256960392,0.6052483320236206,0.0,0.3813857138156891,0.37114545702934265,1.978247880935669,0.38622623682022095
100,1,0.4236019253730774,0.01016323920339346,0.43911856412887573,0.0,0.298874169588089,0.2854171693325043,1.4571750164031982,0.4191930890083313
150,1,0.3639448285102844,0.02333204075694084,0.37343284487724304,0.0,0.153334841132164,0.1473630666732788,1.0614075660705566,0.43876513838768005
200,1,0.3072254955768585,0.007382884621620178,0.3087969124317169,0.0,0.03319278731942177,0.03173825517296791,0.6883363723754883,0.4474223256111145
250,1,0.24244558811187744,0.005318795796483755,0.2516058087348938,0.0,0.02074461430311203,0.02004912495613098,0.5401639342308044,0.43929624557495117
300,1,0.22843652963638306,0.00507643586024642,0.22727444767951965,0.0,0.015295266173779964,0.015677502378821373,0.4917601943016052,0.4324776232242584
350,1,0.2107778638601303,0.0047681196592748165,0.21669939160346985,0.0,0.016471385955810547,0.01710602268576622,0.4658227860927582,0.43530789017677307
400,1,0.20574170351028442,0.004100252408534288,0.21357323229312897,0.0,0.013279469683766365,0.012815955094993114,0.4495106041431427,0.42906004190444946
450,1,0.19130344688892365,0.0031354278326034546,0.19831673800945282,0.0,0.011761510744690895,0.011162899434566498,0.41568005084991455,0.42848825454711914
500,1,0.19002358615398407,0.003300339449197054,0.1973947137594223,0.0,0.010571743361651897,0.010176231153309345,0.4114665985107422,0.4238376319408417
550,2,0.19035878777503967,0.0032299302984029055,0.19472311437129974,0.0,0.01050612609833479,0.009880097582936287,0.40869805216789246,0.42776161432266235
600,2,0.18264198303222656,0.0035765792708843946,0.1891728639602661,0.0,0.010773356072604656,0.010117352940142155,0.3962821364402771,0.42431607842445374
650,2,0.1787467747926712,0.00300559657625854,0.1857612282037735,0.0,0.00975883286446333,0.009528051130473614,0.38680046796798706,0.4172723889350891
700,2,0.18035271763801575,0.00264072441495955,0.18525059521198273,0.0,0.008972308598458767,0.008716455660760403,0.3859328031539917,0.41913291811943054
750,2,0.17325618863105774,0.002544427989050746,0.18269798159599304,0.0,0.00860267598181963,0.00877461303025484,0.37587589025497437,0.41460666060447693
800,2,0.17276118695735931,0.002994400914758444,0.17904242873191833,0.0,0.00858844444155693,0.008291286416351795,0.3716777563095093,0.41980305314064026
850,2,0.1667660027742386,0.002999012591317296,0.179307758808136,0.0,0.00846831128001213,0.008518620394170284,0.36605969071388245,0.41597023606300354
900,2,0.1680838167667389,0.0023854083847254515,0.1730421781539917,0.0,0.008479289710521698,0.008294039405882359,0.3602847456932068,0.41171589493751526
950,2,0.1669146567583084,0.0028796971309930086,0.17676961421966553,0.0,0.008191229775547981,0.007959826849400997,0.3627150058746338,0.4125012457370758
1000,2,0.163203626871109,0.002354610012844205,0.17194931209087372,0.0,0.007804772350937128,0.007477900478988886,0.3527902066707611,0.4103577136993408
1050,3,0.162950798869133,0.0029442135710269213,0.17355921864509583,0.0,0.007681211922317743,0.007527969777584076,0.3546634018421173,0.413423627614975
1100,3,0.1619075983762741,0.0026546616572886705,0.17261900007724762,0.0,0.007330582942813635,0.007053582463413477,0.351565420627594,0.41132593154907227
1150,3,0.15599805116653442,0.0024341982789337635,0.1716272383928299,0.0,0.0068993838503956795,0.006777310278266668,0.3437361717224121,0.4090505540370941
1200,3,0.1641315221786499,0.0023118050303310156,0.1710270196199417,0.0,0.008082796819508076,0.007568061351776123,0.35312122106552124,0.41037440299987793
1250,3,0.15690743923187256,0.0024324986152350903,0.17017090320587158,0.0,0.0066577354446053505,0.0061999778263270855,0.34236854314804077,0.40864109992980957
1300,3,0.15750639140605927,0.0025430249515920877,0.16291359066963196,0.0,0.00727130426093936,0.007230101618915796,0.3374643921852112,0.40752944350242615
1350,3,0.15404531359672546,0.0020376790780574083,0.15950877964496613,0.0,0.007032753434032202,0.00670788437128067,0.3293323814868927,0.4049457609653473
1400,3,0.15287846326828003,0.0025095443706959486,0.1652662456035614,0.0,0.007050973363220692,0.006823727395385504,0.33452898263931274,0.4068610668182373
1450,3,0.15262332558631897,0.002483716933056712,0.15980583429336548,0.0,0.006517489440739155,0.006151329260319471,0.3275816738605499,0.40694567561149597
1500,3,0.15141715109348297,0.0027692990843206644,0.15795569121837616,0.0,0.007221494801342487,0.007017002906650305,0.3263806402683258,0.4048377573490143
1550,4,0.15297256410121918,0.0026570202317088842,0.15740224719047546,0.0,0.006985364947468042,0.006465753074735403,0.32648298144340515,0.40638867020606995
1600,4,0.15096423029899597,0.0022933941800147295,0.15954746305942535,0.0,0.00688886595889926,0.006499040871858597,0.3261930048465729,0.4041369557380676
1650,4,0.15115059912204742,0.0028965207748115063,0.16001468896865845,0.0,0.006658685859292746,0.006794556975364685,0.3275150656700134,0.40572166442871094
1700,4,0.1471153199672699,0.002788066864013672,0.1581936925649643,0.0,0.006351013667881489,0.006363815162330866,0.3208118975162506,0.40319451689720154
1750,4,0.14694491028785706,0.002537121996283531,0.15356163680553436,0.0,0.0059852502308785915,0.005785578396171331,0.3148144781589508,0.40259072184562683
1800,4,0.1478625237941742,0.002286799717694521,0.15485069155693054,0.0,0.006760649383068085,0.006363186985254288,0.31812384724617004,0.4060462415218353
1850,4,0.14701783657073975,0.001985883107408881,0.15241682529449463,0.0,0.006915284786373377,0.006447189953178167,0.3147830069065094,0.40220746397972107
