probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.1226,0.0866,0.0867,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0159,0.0122,0.0102,11.1371,8.6636,0.0543,0.9801,0.9861
mlp,0.0087,0.0067,0.0055,2.2958,1.9393,0.0000,0.9939,0.9960
