t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.60000,0.95993,0.10000,55.000
1,0.16565,0.61820,0.86060,0.11820,49.309
2,0.18525,0.63205,0.61508,0.13205,35.241
3,0.20732,0.64148,0.40393,0.14148,23.143
4,0.23022,0.64866,0.30385,0.14866,17.409
5,0.25404,0.65157,0.12138,0.15157,6.955
6,0.27801,0.65026,-0.05438,0.15026,-3.116
7,0.30179,0.64704,-0.13462,0.14704,-7.713
8,0.32540,0.64274,-0.17996,0.14274,-10.311
9,0.34881,0.63744,-0.22286,0.13744,-12.769
10,0.37215,0.63187,-0.23419,0.13187,-13.418
11,0.39487,0.62414,-0.32796,0.12414,-18.791
12,0.41807,0.61797,-0.25980,0.11797,-14.885
13,0.44151,0.61282,-0.21633,0.11282,-12.395
14,0.46506,0.60819,-0.19428,0.10819,-11.131
15,0.48867,0.60390,-0.17955,0.10390,-10.288
16,0.51245,0.60062,-0.13727,0.10062,-7.865
17,0.53605,0.59628,-0.18163,0.09628,-10.407
18,0.55971,0.59223,-0.16976,0.09223,-9.727
