t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.67000,0.95993,0.17000,55.000
1,0.16326,0.69001,0.98557,0.19001,56.469
2,0.18084,0.70635,0.74889,0.20635,42.908
3,0.20085,0.71959,0.58452,0.21959,33.491
4,0.22232,0.73032,0.46341,0.23032,26.552
5,0.24519,0.73759,0.30800,0.23759,17.647
6,0.26906,0.74009,0.10442,0.24009,5.983
7,0.29290,0.73733,-0.11563,0.23733,-6.625
8,0.31533,0.72880,-0.36332,0.22880,-20.817
9,0.33544,0.71569,-0.57764,0.21569,-33.096
10,0.35515,0.70199,-0.60734,0.20199,-34.798
11,0.37571,0.68962,-0.54187,0.18962,-31.047
12,0.39770,0.67999,-0.41254,0.17999,-23.637
13,0.42049,0.67248,-0.31849,0.17248,-18.248
14,0.44276,0.66354,-0.38154,0.16354,-21.861
15,0.46548,0.65580,-0.32831,0.15580,-18.811
16,0.48844,0.64883,-0.29501,0.14883,-16.903
17,0.51125,0.64134,-0.31731,0.14134,-18.181
18,0.53452,0.63547,-0.24714,0.13547,-14.160
