t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.67000,0.95993,0.17000,55.000
1,0.16663,0.68731,0.80551,0.18731,46.152
2,0.18454,0.70328,0.72792,0.20328,41.707
3,0.20580,0.71441,0.48241,0.21441,27.640
4,0.22915,0.71997,0.23393,0.21997,13.403
5,0.25315,0.71978,-0.00819,0.21978,-0.469
6,0.27648,0.71416,-0.23614,0.21416,-13.530
7,0.29839,0.70435,-0.42121,0.20435,-24.133
8,0.32056,0.69517,-0.39228,0.19517,-22.476
9,0.34270,0.68589,-0.39712,0.18589,-22.753
10,0.36481,0.67657,-0.39877,0.17657,-22.848
11,0.38655,0.66640,-0.43792,0.16640,-25.091
12,0.40842,0.65652,-0.42388,0.15652,-24.286
13,0.43129,0.64924,-0.30841,0.14924,-17.670
14,0.45387,0.64109,-0.34641,0.14109,-19.848
15,0.47675,0.63387,-0.30558,0.13387,-17.508
16,0.49986,0.62740,-0.27311,0.12740,-15.648
17,0.52314,0.62156,-0.24575,0.12156,-14.080
18,0.54668,0.61685,-0.19752,0.11685,-11.317
