t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.60000,0.95993,0.10000,55.000
1,0.16451,0.61912,0.92146,0.11912,52.796
2,0.18279,0.63467,0.70492,0.13467,40.389
3,0.20349,0.64681,0.53064,0.14681,30.403
4,0.22443,0.65854,0.51053,0.15854,29.251
5,0.24733,0.66572,0.30359,0.16572,17.394
6,0.27114,0.66877,0.12765,0.16877,7.314
7,0.29512,0.66784,-0.03871,0.16784,-2.218
8,0.31879,0.66389,-0.16529,0.16389,-9.470
9,0.34231,0.65910,-0.20121,0.15910,-11.528
10,0.36478,0.65067,-0.35868,0.15067,-20.551
11,0.38662,0.64071,-0.42809,0.14071,-24.528
12,0.40951,0.63350,-0.30489,0.13350,-17.469
13,0.43271,0.62738,-0.25823,0.12738,-14.795
14,0.45627,0.62278,-0.19257,0.12278,-11.034
15,0.48019,0.62089,-0.07904,0.12089,-4.529
16,0.50388,0.61700,-0.16277,0.11700,-9.326
17,0.52733,0.61190,-0.21415,0.11190,-12.270
18,0.55048,0.60556,-0.26711,0.10556,-15.304
