t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.65000,0.95993,0.15000,55.000
1,0.16522,0.66856,0.88385,0.16856,50.641
2,0.18399,0.68352,0.67314,0.18352,38.568
3,0.20559,0.69397,0.45066,0.19397,25.821
4,0.22904,0.69907,0.21420,0.19907,12.273
5,0.25304,0.69948,0.01699,0.19948,0.973
6,0.27687,0.69665,-0.11810,0.19665,-6.767
7,0.30034,0.69162,-0.21111,0.19162,-12.096
8,0.32371,0.68617,-0.22927,0.18617,-13.136
9,0.34711,0.68086,-0.22332,0.18086,-12.795
10,0.37018,0.67424,-0.27939,0.17424,-16.008
11,0.39287,0.66642,-0.33190,0.16642,-19.016
12,0.41584,0.65946,-0.29395,0.15946,-16.842
13,0.43896,0.65300,-0.27246,0.15300,-15.611
14,0.46195,0.64614,-0.29023,0.14614,-16.629
15,0.48496,0.63930,-0.28865,0.13930,-16.539
16,0.50798,0.63250,-0.28726,0.13250,-16.459
17,0.53107,0.62597,-0.27556,0.12597,-15.788
18,0.55425,0.61976,-0.26183,0.11976,-15.002
