t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16451,0.51283,0.72405,0.01283,41.485
2,0.18123,0.52461,0.61368,0.02461,35.161
3,0.19993,0.53508,0.51027,0.03508,29.236
4,0.21706,0.54250,0.40886,0.04250,23.426
5,0.23796,0.54932,0.31551,0.04932,18.077
6,0.25825,0.55338,0.19763,0.05338,11.323
7,0.27894,0.55554,0.10369,0.05554,5.941
8,0.30059,0.55581,0.01282,0.05581,0.735
9,0.32231,0.55513,-0.03148,0.05513,-1.804
10,0.34321,0.55386,-0.06072,0.05386,-3.479
11,0.36452,0.55179,-0.09688,0.05179,-5.551
12,0.38697,0.54915,-0.11706,0.04915,-6.707
13,0.40873,0.54656,-0.11831,0.04656,-6.779
14,0.42987,0.54354,-0.14187,0.04354,-8.129
15,0.45187,0.54033,-0.14485,0.04033,-8.299
16,0.47396,0.53727,-0.13778,0.03727,-7.894
17,0.49497,0.53408,-0.15040,0.03408,-8.617
18,0.51706,0.53066,-0.15363,0.03066,-8.803
