t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16373,0.51220,0.72652,0.01220,41.627
2,0.17906,0.52311,0.61857,0.02311,35.442
3,0.19679,0.53305,0.51063,0.03305,29.257
4,0.21270,0.54001,0.41265,0.04001,23.643
5,0.23260,0.54667,0.32317,0.04667,18.516
6,0.25174,0.55099,0.22173,0.05099,12.704
7,0.27163,0.55367,0.13376,0.05367,7.664
8,0.29250,0.55465,0.04708,0.05465,2.697
9,0.31342,0.55473,0.00372,0.05473,0.213
10,0.33324,0.55419,-0.02728,0.05419,-1.563
11,0.35339,0.55290,-0.06363,0.05290,-3.646
12,0.37494,0.55120,-0.07861,0.05120,-4.504
13,0.39627,0.54953,-0.07821,0.04953,-4.481
14,0.41638,0.54713,-0.11871,0.04713,-6.802
15,0.43764,0.54431,-0.13191,0.04431,-7.558
16,0.45916,0.54170,-0.12078,0.04170,-6.920
17,0.47980,0.53917,-0.12183,0.03917,-6.981
18,0.50135,0.53648,-0.12448,0.03648,-7.132
