t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15979,0.50870,0.72630,0.00870,41.614
2,0.17391,0.51855,0.60921,0.01855,34.905
3,0.18834,0.52628,0.49179,0.02628,28.177
4,0.20331,0.53233,0.38410,0.03233,22.007
5,0.22177,0.53774,0.28528,0.03774,16.345
6,0.24008,0.54135,0.19463,0.04135,11.152
7,0.25964,0.54346,0.10715,0.04346,6.139
8,0.27931,0.54405,0.03002,0.04405,1.720
9,0.29943,0.54399,-0.00263,0.04399,-0.151
10,0.31885,0.54348,-0.02639,0.04348,-1.512
11,0.33832,0.54238,-0.05645,0.04238,-3.234
12,0.35922,0.54112,-0.06003,0.04112,-3.440
13,0.38011,0.53989,-0.05907,0.03989,-3.384
14,0.40020,0.53848,-0.07018,0.03848,-4.021
15,0.42159,0.53674,-0.08095,0.03674,-4.638
16,0.44349,0.53503,-0.07783,0.03503,-4.460
17,0.46471,0.53330,-0.08142,0.03330,-4.665
18,0.48590,0.53196,-0.06315,0.03196,-3.618
