step,epoch,pred,pred_block,pred_free,sigreg,l1,anchor,anchor_pred,total,latent_std
50,1,0.06844780594110489,0.01052799541503191,0.057919811457395554,5.419071197509766,0.007922535762190819,0.928523063659668,0.8633556365966797,1.8874298334121704,0.9498617649078369
100,1,0.1786814033985138,0.052190519869327545,0.12649087607860565,4.556346893310547,0.011001325212419033,0.6759346127510071,0.5892876386642456,1.4666965007781982,0.9493595361709595
150,1,0.11418204009532928,0.018691254779696465,0.09549078345298767,4.951348304748535,0.01215715054422617,0.2485964298248291,0.21561706066131592,0.6031644344329834,0.9589558839797974
200,1,0.09460438787937164,0.007697876077145338,0.08690651506185532,3.3312220573425293,0.01220717653632164,0.1461571753025055,0.1367611140012741,0.3941909670829773,0.9706414937973022
250,1,0.07662352174520493,0.004523576702922583,0.0720999464392662,3.196303367614746,0.012729724869132042,0.09112048149108887,0.06794088333845139,0.2516791522502899,0.9810386300086975
300,1,0.08183010667562485,0.00554769579321146,0.07628241181373596,2.877364158630371,0.0126509303227067,0.09974479675292969,0.0633053258061409,0.25927969813346863,0.9882713556289673
350,1,0.07541828602552414,0.0029846003744751215,0.07243368774652481,2.764913320541382,0.012628664262592793,0.05909525230526924,0.03607122227549553,0.18442195653915405,0.9894810318946838
400,1,0.06483548879623413,0.004223403986543417,0.060612086206674576,2.704664945602417,0.012079141102731228,0.05828392505645752,0.03784836828708649,0.1745031774044037,0.9910202026367188
450,1,0.06137031316757202,0.0021752307657152414,0.059195082634687424,2.464822769165039,0.011755445040762424,0.0565614178776741,0.034995365887880325,0.16526296734809875,0.9929726123809814
500,1,0.06283813714981079,0.00312725268304348,0.05971088260412216,2.5531787872314453,0.011255578137934208,0.054394688457250595,0.035843875259160995,0.1658538579940796,0.9896399974822998
550,2,0.05969185382127762,0.0027850191108882427,0.05690683424472809,2.5937230587005615,0.01088905893266201,0.041764724999666214,0.02786613442003727,0.14230221509933472,0.9895304441452026
600,2,0.05847974866628647,0.004510135855525732,0.0539696142077446,2.402212142944336,0.010703729465603828,0.0578644685447216,0.038820888847112656,0.16718687117099762,0.9876587390899658
650,2,0.05746995285153389,0.0027108341455459595,0.05475911870598793,2.496394157409668,0.010656867176294327,0.05053073912858963,0.02835141494870186,0.14884473383426666,0.9878183007240295
700,2,0.052566833794116974,0.002139440504834056,0.0504273921251297,2.5666723251342773,0.010743011720478535,0.03770805895328522,0.02410539798438549,0.127224400639534,0.9859243631362915
750,2,0.05575588345527649,0.0025175721384584904,0.05323830991983414,2.483022689819336,0.01061324030160904,0.040633510798215866,0.024582242593169212,0.13339735567569733,0.9832279682159424
800,2,0.048942215740680695,0.0022696317173540592,0.04667258262634277,2.4045608043670654,0.010662107728421688,0.0434269979596138,0.025871245190501213,0.13027392327785492,0.9815497398376465
850,2,0.049391280859708786,0.002047020010650158,0.04734425991773605,2.435030937194824,0.010697023011744022,0.037239622324705124,0.022984614595770836,0.12180136144161224,0.9808930158615112
900,2,0.050041258335113525,0.0019152251770719886,0.04812603443861008,2.409188747406006,0.01067428570240736,0.0368107445538044,0.022870441898703575,0.12177905440330505,0.9777071475982666
950,2,0.04840636998414993,0.001770930364727974,0.04663544148206711,2.347870349884033,0.010687378235161304,0.030550813302397728,0.021229170262813568,0.11193639039993286,0.9776936769485474
1000,2,0.045398466289043427,0.00200052373111248,0.0433979406952858,2.2979273796081543,0.010624014772474766,0.031579118221998215,0.01862056367099285,0.10709840804338455,0.976995587348938
1050,3,0.042063143104314804,0.0015609395923092961,0.04050220176577568,2.2592132091522217,0.010618112049996853,0.03151039406657219,0.02115015685558319,0.10603037476539612,0.9774031043052673
1100,3,0.046635426580905914,0.0018439969280734658,0.04479143023490906,2.2921948432922363,0.010617997497320175,0.030265498906373978,0.018701380118727684,0.10707389563322067,0.9767791032791138
1150,3,0.042969267815351486,0.0016972266603261232,0.04127204045653343,2.313746213912964,0.01064001489430666,0.024752413854002953,0.015999799594283104,0.09530085325241089,0.9756821990013123
1200,3,0.04270248860120773,0.0015051774680614471,0.041197311133146286,2.39027738571167,0.01073012687265873,0.03569914028048515,0.028022954240441322,0.11838670074939728,0.9746714234352112
1250,3,0.04203713685274124,0.0016305411700159311,0.040406595915555954,2.134561538696289,0.010693236254155636,0.026228195056319237,0.020633315667510033,0.09958215057849884,0.9744849801063538
1300,3,0.04298259690403938,0.0016561687225475907,0.041326429694890976,2.4364120960235596,0.010739277116954327,0.031126204878091812,0.023056600242853165,0.10935820639133453,0.9741688966751099
1350,3,0.04339174926280975,0.0014665346825495362,0.04192521423101425,2.2509925365448,0.010629923082888126,0.024618053808808327,0.016965636983513832,0.09624102711677551,0.9747419357299805
1400,3,0.043809473514556885,0.0016798385186120868,0.04212963581085205,2.2622599601745605,0.010608182288706303,0.02848946489393711,0.016632547602057457,0.1002533957362175,0.973914384841919
1450,3,0.04008783400058746,0.0014006885467097163,0.038687147200107574,2.273003101348877,0.010763994418084621,0.025221770629286766,0.01713710092008114,0.09382247924804688,0.9741941094398499
1500,3,0.037175726145505905,0.0012971340911462903,0.03587859123945236,1.979008674621582,0.010802129283547401,0.026158487424254417,0.016465405002236366,0.0897054672241211,0.9733713269233704
1550,4,0.03858877718448639,0.001107152202166617,0.03748162463307381,2.352451801300049,0.010678590275347233,0.024822687730193138,0.016974348574876785,0.09215874969959259,0.972999632358551
1600,4,0.039203058928251266,0.0013860337203368545,0.03781702369451523,2.204566240310669,0.010653642937541008,0.024549562484025955,0.01351993065327406,0.08830603957176208,0.9726095795631409
1650,4,0.038612786680459976,0.0013253097422420979,0.037287477403879166,2.197636365890503,0.010508602485060692,0.02305338717997074,0.014015850611031055,0.08668071031570435,0.9719332456588745
1700,4,0.03675325959920883,0.0014405081747099757,0.035312753170728683,2.3436994552612305,0.010392208583652973,0.02526523545384407,0.015964265912771225,0.08971165120601654,0.9719423055648804
1750,4,0.035497430711984634,0.001129539916291833,0.034367889165878296,2.056594133377075,0.010282333940267563,0.0208603385835886,0.016355400905013084,0.08300642669200897,0.9719279408454895
1800,4,0.036580849438905716,0.0013148945290595293,0.035265956073999405,2.2727980613708496,0.010269093327224255,0.02175207994878292,0.015993351116776466,0.08570054173469543,0.972117006778717
1850,4,0.03748350590467453,0.0011296544689685106,0.03635385259985924,2.1769092082977295,0.010212655179202557,0.02427074685692787,0.017910603433847427,0.09055961668491364,0.9707670211791992
1900,4,0.034893255680799484,0.0013530493015423417,0.033540207892656326,2.0702996253967285,0.01016304362565279,0.025114083662629128,0.014957194216549397,0.0853261947631836,0.9716751575469971
1950,4,0.037285447120666504,0.0012803183635696769,0.03600512817502022,2.1350769996643066,0.01012511271983385,0.020802393555641174,0.013687658123672009,0.08246101438999176,0.971178412437439
2000,4,0.03592841699719429,0.0011052371701225638,0.03482317924499512,2.227184534072876,0.009994519874453545,0.019886789843440056,0.014717252925038338,0.0816783756017685,0.9719232320785522
2050,5,0.03722447156906128,0.000940424797590822,0.03628404811024666,1.9895126819610596,0.009864168241620064,0.023505454882979393,0.01467763539403677,0.08536498993635178,0.9727190136909485
2100,5,0.031761087477207184,0.0012551656691357493,0.030505923554301262,1.982527494430542,0.009819217957556248,0.02190507762134075,0.013698078691959381,0.07728670537471771,0.9722210764884949
2150,5,0.03391992673277855,0.001087390468455851,0.03283253684639931,2.061281204223633,0.009686047211289406,0.02008606493473053,0.013724520802497864,0.07804660499095917,0.9712646007537842
2200,5,0.03323636204004288,0.0010205497965216637,0.03221581131219864,2.0397937297821045,0.009527409449219704,0.01885700598359108,0.013484048657119274,0.07578591257333755,0.9721857309341431
2250,5,0.034865159541368484,0.0010722691658884287,0.0337928906083107,2.124286413192749,0.009462371468544006,0.0257167499512434,0.015478253364562988,0.08669105917215347,0.9714862108230591
2300,5,0.034311480820178986,0.0011183914029970765,0.033193089067935944,2.0323948860168457,0.009328797459602356,0.018997976556420326,0.012178942561149597,0.07565969973802567,0.971005380153656
2350,5,0.03153004124760628,0.0010004736250266433,0.03052956610918045,2.0047178268432617,0.0093087712302804,0.01847168803215027,0.012750327587127686,0.07278496026992798,0.971399188041687
2400,5,0.03293872997164726,0.0009197378531098366,0.03201899304986,2.0454235076904297,0.00929727591574192,0.02188539318740368,0.01627887599170208,0.08133941888809204,0.9699999094009399
2450,5,0.03144490718841553,0.001000143471173942,0.030444765463471413,2.1462454795837402,0.009127252735197544,0.02078365534543991,0.014668980613350868,0.07763789594173431,0.9694859981536865
2500,5,0.032440874725580215,0.0009368338505737484,0.03150404244661331,2.102835178375244,0.009057424031198025,0.019392995163798332,0.01214673649519682,0.0745038390159607,0.9697548151016235
2550,6,0.030543196946382523,0.0009811865165829659,0.02956201136112213,2.123424768447876,0.008817772381007671,0.020230034366250038,0.012356068938970566,0.07375524938106537,0.9701741933822632
2600,6,0.030546724796295166,0.0008841896778903902,0.029662534594535828,2.0124363899230957,0.008871224708855152,0.02808513678610325,0.01981070637702942,0.08851361274719238,0.970033586025238
2650,6,0.032411180436611176,0.0009574277210049331,0.031453751027584076,1.883239507675171,0.008729714900255203,0.020025087520480156,0.014318264089524746,0.07617945969104767,0.9699279069900513
2700,6,0.03461682051420212,0.0009667780250310898,0.03365004062652588,2.1010522842407227,0.008700534701347351,0.019934197887778282,0.013547119684517384,0.07861210405826569,0.969874918460846
2750,6,0.03311793506145477,0.0009408015175722539,0.03217713534832001,2.090890407562256,0.008561969734728336,0.023611372336745262,0.015436154790222645,0.08262847363948822,0.9691098928451538
2800,6,0.028415536507964134,0.0009144426439888775,0.027501093223690987,1.992760181427002,0.00855430867522955,0.018171017989516258,0.011275535449385643,0.06783444434404373,0.9698373675346375
2850,6,0.03025698848068714,0.0009182840585708618,0.02933870442211628,2.061962366104126,0.008421479724347591,0.01770886592566967,0.012338529340922832,0.07062262296676636,0.9698120355606079
2900,6,0.033634256571531296,0.000981844961643219,0.03265241160988808,1.9894607067108154,0.008432495407760143,0.02059907652437687,0.014178097248077393,0.07836716622114182,0.9690032005310059
2950,6,0.02927638404071331,0.0008765176171436906,0.028399866074323654,2.0426597595214844,0.008376048877835274,0.016466626897454262,0.011828801594674587,0.06779348850250244,0.96986985206604
3000,6,0.030161937698721886,0.000877503480296582,0.029284434393048286,1.9807335138320923,0.008355077356100082,0.020485032349824905,0.01618245244026184,0.07674144208431244,0.9690182209014893
3050,7,0.03143070638179779,0.0008994899108074605,0.03053121641278267,2.1287190914154053,0.008197384886443615,0.021946070715785027,0.01504081767052412,0.07906938344240189,0.9681267738342285
3100,7,0.030584251508116722,0.0007603492704220116,0.029823902994394302,2.14378023147583,0.008077625185251236,0.021180948242545128,0.013744187541306019,0.07623636722564697,0.9695940017700195
3150,7,0.02840811014175415,0.0008658606675453484,0.027542250230908394,2.004934787750244,0.008290625177323818,0.018687644973397255,0.011530374176800251,0.06865909695625305,0.9706373810768127
3200,7,0.028468728065490723,0.0009408312034793198,0.02752789668738842,2.008340358734131,0.008167468942701817,0.01717097871005535,0.012967074289917946,0.06865665316581726,0.969138503074646
3250,7,0.03088287077844143,0.0008305707015097141,0.030052300542593002,1.9105582237243652,0.007990196347236633,0.016526833176612854,0.01231385488063097,0.0692843347787857,0.9701464772224426
3300,7,0.028954386711120605,0.0009409968624822795,0.02801338955760002,2.034423828125,0.008001826703548431,0.019625255838036537,0.0157662034034729,0.07452596724033356,0.9692494869232178
3350,7,0.028636619448661804,0.0008177817799150944,0.027818838134407997,1.9068982601165771,0.007818819023668766,0.01513661164790392,0.010075568221509457,0.06339111179113388,0.9691725969314575
3400,7,0.028663093224167824,0.0007539173820987344,0.0279091764241457,2.0025272369384766,0.00773604353889823,0.01736213080585003,0.012519227340817451,0.06856482475996017,0.9686138033866882
3450,7,0.028938883915543556,0.0007866449886932969,0.028152238577604294,1.959110140800476,0.007699604611843824,0.019450804218649864,0.013476477935910225,0.07166941463947296,0.9686115384101868
3500,7,0.02870747447013855,0.0008561881259083748,0.0278512854129076,1.969926118850708,0.00753329461440444,0.017948707565665245,0.015388960018754005,0.0719023048877716,0.9686766266822815
3550,8,0.028013603761792183,0.0006149669061414897,0.02739863656461239,2.0159544944763184,0.007351567968726158,0.016046417877078056,0.010676807723939419,0.06482395529747009,0.9690489768981934
3600,8,0.030218593776226044,0.0007723435992375016,0.029446249827742577,2.027862071990967,0.007380583323538303,0.016730237752199173,0.011070914566516876,0.06816643476486206,0.9691497087478638
3650,8,0.030665241181850433,0.0009188983822241426,0.029746342450380325,2.0374059677124023,0.00736283091828227,0.0226724985986948,0.015628119930624962,0.07916025072336197,0.9672452211380005
3700,8,0.03006439097225666,0.0008130729547701776,0.02925131842494011,1.9784408807754517,0.007293888833373785,0.01980644278228283,0.014259139075875282,0.07402947545051575,0.9681117534637451
3750,8,0.027506254613399506,0.0007946072146296501,0.02671164833009243,2.0257699489593506,0.007292390801012516,0.017273390665650368,0.010769388638436794,0.06568517535924911,0.9675434827804565
3800,8,0.02902122028172016,0.000907826644834131,0.028113393113017082,1.92770516872406,0.007198351435363293,0.01628999598324299,0.010829183273017406,0.06578612327575684,0.9675793051719666
3850,8,0.03091531991958618,0.00075159827247262,0.03016372211277485,1.9800736904144287,0.007180431392043829,0.01615888439118862,0.012666105292737484,0.06964785605669022,0.9671972990036011
3900,8,0.0290006585419178,0.000801233050879091,0.02819942496716976,1.9271936416625977,0.00691697234287858,0.018773024901747704,0.012717573903501034,0.07013414055109024,0.9670729637145996
3950,8,0.026833100244402885,0.0006177923060022295,0.026215307414531708,2.053100347518921,0.007026820443570614,0.017982784658670425,0.012569229118525982,0.06765764206647873,0.9682655930519104
4000,8,0.027848124504089355,0.0006689614965580404,0.027179162949323654,1.9719984531402588,0.007143373601138592,0.018991826102137566,0.011621990241110325,0.06832908093929291,0.9686237573623657
4050,9,0.029123999178409576,0.0008800459909252822,0.028243953362107277,1.9691659212112427,0.007052335888147354,0.016400126740336418,0.012642944231629372,0.06801995635032654,0.9675158262252808
4100,9,0.027997123077511787,0.000725253252312541,0.027271870523691177,1.9872052669525146,0.006952980998903513,0.015126648359000683,0.010427691973745823,0.06349444389343262,0.9662947654724121
4150,9,0.02816721796989441,0.0006697917706333101,0.02749742567539215,1.8626303672790527,0.006956964265555143,0.012989751063287258,0.00955871120095253,0.060035787522792816,0.9670279026031494
4200,9,0.028032425791025162,0.0008322704816237092,0.027200154960155487,1.8519858121871948,0.006950351409614086,0.018359705805778503,0.013552582822740078,0.06921159476041794,0.9682236909866333
4250,9,0.02898789383471012,0.0006588607211597264,0.0283290334045887,1.8662797212600708,0.006967612542212009,0.017643095925450325,0.011955520138144493,0.0679248720407486,0.9679692983627319
4300,9,0.02756521850824356,0.000656882009934634,0.026908336207270622,2.2205002307891846,0.00674519082531333,0.01588481105864048,0.01167850848287344,0.06623778492212296,0.9675265550613403
4350,9,0.026413483545184135,0.000663855520542711,0.025749627500772476,1.7939298152923584,0.006570279132574797,0.015447131358087063,0.009528284892439842,0.06036511808633804,0.9666866660118103
4400,9,0.029211753979325294,0.0007319744327105582,0.02847977913916111,2.0533947944641113,0.0066111949272453785,0.015848897397518158,0.009808562695980072,0.06514279544353485,0.9676595330238342
4450,9,0.02653236873447895,0.00067600590409711,0.025856362655758858,1.9540038108825684,0.006635472644120455,0.01559493225067854,0.01030278392136097,0.06220673769712448,0.9672415256500244
4500,9,0.028125623241066933,0.0008079944527707994,0.027317628264427185,1.8757729530334473,0.006960746366530657,0.020323732867836952,0.015200679190456867,0.07303586602210999,0.967178225517273
4550,10,0.027665190398693085,0.0008024130365811288,0.026862777769565582,1.935383915901184,0.006951116491109133,0.017615817487239838,0.011546218767762184,0.06651109457015991,0.9667763710021973
4600,10,0.02849181927740574,0.0007369402446784079,0.027754878625273705,1.9532886743545532,0.006745414808392525,0.01402448769658804,0.009909710846841335,0.06219920516014099,0.967284083366394
4650,10,0.025595147162675858,0.000675925228279084,0.02491922117769718,2.05116605758667,0.006747025065124035,0.016205361112952232,0.010382235050201416,0.062445320188999176,0.9667848944664001
4700,10,0.026162393391132355,0.0006148494430817664,0.025547543540596962,1.9512214660644531,0.006590043660253286,0.016586169600486755,0.012498932890594006,0.0650101900100708,0.9663761854171753
4750,10,0.025483079254627228,0.0006844348390586674,0.024798644706606865,1.9012401103973389,0.006448445841670036,0.017495902255177498,0.011286755092442036,0.06377838551998138,0.9658017158508301
4800,10,0.02712586522102356,0.0006768676685169339,0.026448996737599373,1.9561386108398438,0.006374313961714506,0.014905869029462337,0.009715854190289974,0.06153465807437897,0.9667104482650757
4850,10,0.02788248471915722,0.0007426055381074548,0.027139879763126373,1.9226899147033691,0.006291027646511793,0.017622098326683044,0.012022893875837326,0.06714721769094467,0.9666467308998108
4900,10,0.027034901082515717,0.0006766053265891969,0.02635829523205757,1.8468890190124512,0.006331580691039562,0.01903027854859829,0.014828793704509735,0.07013475149869919,0.9664186239242554
4950,10,0.02680874802172184,0.0006448529893532395,0.026163894683122635,1.8430607318878174,0.006322043482214212,0.021521231159567833,0.014956491999328136,0.07250809669494629,0.9659097194671631
5000,10,0.026495864614844322,0.0006186202517710626,0.025877244770526886,1.7478740215301514,0.006317397113889456,0.01722441427409649,0.011938640847802162,0.06440460681915283,0.9658024907112122
5050,11,0.025960005819797516,0.0005563438171520829,0.025403661653399467,1.9216961860656738,0.006228695623576641,0.015487544238567352,0.012073870748281479,0.06313613057136536,0.9655470848083496
5100,11,0.02609703131020069,0.0006559055764228106,0.02544112503528595,1.964713215827942,0.006057113874703646,0.014327311888337135,0.009165393188595772,0.059419360011816025,0.9654518365859985
5150,11,0.025609148666262627,0.0006449695792980492,0.02496417984366417,1.9351708889007568,0.006108229048550129,0.016526857390999794,0.009797103703022003,0.061615072190761566,0.9666897058486938
5200,11,0.02642969600856304,0.0006852849619463086,0.02574441023170948,1.8862923383712769,0.0060194022953510284,0.014145244844257832,0.010145748034119606,0.06015817075967789,0.9659979939460754
5250,11,0.027528783306479454,0.0006081602768972516,0.02692062221467495,1.9082386493682861,0.006132929585874081,0.014628738164901733,0.009741340763866901,0.061446186155080795,0.9672395586967468
5300,11,0.026072129607200623,0.0006101974286139011,0.02546193264424801,1.8873895406723022,0.006071721203625202,0.016817731782794,0.012788727879524231,0.0651216059923172,0.9659891128540039
5350,11,0.026438824832439423,0.0005840247613377869,0.025854799896478653,1.9018402099609375,0.006003872957080603,0.0154133141040802,0.009836441837251186,0.061203788965940475,0.9666025638580322
5400,11,0.026045070961117744,0.0006428518681786954,0.025402219966053963,1.9450390338897705,0.005856147035956383,0.014526697807013988,0.011793223209679127,0.062096044421195984,0.9665100574493408
