probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.1226,0.0866,0.0867,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0180,0.0146,0.0105,12.6624,10.1846,0.0065,0.9716,0.9853
mlp,0.0095,0.0071,0.0063,4.5167,3.7024,0.0000,0.9933,0.9947
