probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.1226,0.0866,0.0867,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0918,0.0565,0.0724,77.4225,72.0312,38.9891,0.5734,0.3017
mlp,0.0382,0.0269,0.0271,68.8998,59.3276,31.4522,0.9036,0.9022
