probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0190,0.0138,0.0131,4.0240,3.3182,0.0000,0.9963,0.9965
mlp,0.0165,0.0115,0.0118,3.1446,2.6134,0.0000,0.9974,0.9971
