pose,d0,d1,d2,d3
x,0.9981,0.0159,0.3957,0.0194
y,0.0161,0.9981,-0.0377,0.4148
cos_th,0.3769,-0.0334,0.9910,0.0156
sin_th,0.0039,0.3793,0.0128,0.9904
