probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0154,0.0111,0.0108,2.8639,2.3809,0.0000,0.9976,0.9976
mlp,0.0137,0.0095,0.0099,2.5249,2.1356,0.0000,0.9982,0.9980
