pose,d0,d1,d2,d3
x,0.0529,0.0655,-0.0464,-0.0187
y,-0.1041,0.1330,0.3782,0.0574
cos_th,0.0506,0.0266,0.0367,-0.7361
sin_th,0.1081,-0.0034,-0.1941,0.0209
