probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.1226,0.0866,0.0867,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0165,0.0110,0.0123,12.1917,9.8665,0.0826,0.9838,0.9798
mlp,0.0083,0.0054,0.0063,2.2434,1.9103,0.0000,0.9962,0.9947
