step,epoch,pred,sigreg,anchor,anchor_pred,total,latent_std
50,1,0.027504349127411842,9.2003812789917,0.4351537823677063,0.43006381392478943,0.9387238025665283,0.9519383907318115
100,1,0.05950387567281723,8.618692398071289,0.34834617376327515,0.33684951066970825,0.7877930402755737,0.8402879238128662
150,1,0.10888024419546127,5.6637725830078125,0.18700246512889862,0.09634687006473541,0.4205484390258789,0.8895134925842285
200,1,0.07361316680908203,4.077670097351074,0.1109907478094101,0.053203657269477844,0.2581959366798401,0.9507021903991699
250,1,0.05620427429676056,3.9909048080444336,0.10410355031490326,0.03416723757982254,0.2144295871257782,0.9696338176727295
300,1,0.0807272270321846,3.9495463371276855,0.05513031780719757,0.03372636437416077,0.18933163583278656,0.9476668238639832
350,1,0.05694924294948578,3.432034969329834,0.03711012378334999,0.03345058858394623,0.14467012882232666,0.9765152931213379
400,1,0.05111062154173851,3.5764997005462646,0.03358200192451477,0.03397269919514656,0.13654781877994537,0.9799726009368896
450,1,0.05813143029808998,3.723766565322876,0.03589293360710144,0.027060506865382195,0.13970370590686798,0.9811757206916809
500,1,0.04887513443827629,3.9201366901397705,0.02356218919157982,0.024331070482730865,0.1163690835237503,0.9830968976020813
550,1,0.05949772894382477,3.3103208541870117,0.027103792876005173,0.023309996351599693,0.1264631152153015,0.9791954755783081
600,1,0.059180282056331635,3.431518077850342,0.021495752036571503,0.017253082245588303,0.11508670449256897,0.9715997576713562
650,1,0.0315973199903965,3.7355968952178955,0.018876703456044197,0.015592619776725769,0.08474462479352951,0.9804101586341858
700,1,0.060266997665166855,3.8571741580963135,0.029578693211078644,0.026469165459275246,0.1356007158756256,0.9528172612190247
750,1,0.0434805303812027,3.457468032836914,0.023481426760554314,0.02171967178583145,0.10596896708011627,0.9750654101371765
800,1,0.05010499432682991,3.519453525543213,0.02255190536379814,0.019831836223602295,0.11008600890636444,0.9821676015853882
850,1,0.058057986199855804,3.6481692790985107,0.027334418147802353,0.02412121184170246,0.12775446474552155,0.9759875535964966
900,1,0.03882622718811035,3.3895769119262695,0.023506902158260345,0.016057707369327545,0.09533871710300446,0.9792304039001465
