probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3195,0.2260,0.2258,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0140,0.0102,0.0096,1.9229,1.6003,0.0000,0.9980,0.9982
mlp,0.0092,0.0065,0.0065,1.7088,1.4377,0.0000,0.9992,0.9992
