pose,d0,d1,d2,d3
x,0.1361,-0.0090,-0.1963,0.2800
y,0.0242,0.0250,-0.0538,0.0324
cos_th,0.1565,-0.0184,-0.1269,-0.2812
sin_th,0.0949,0.0517,-0.2143,-0.0203
