probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0632,0.0471,0.0422,43.1640,31.2142,12.5183,0.9565,0.9637
mlp,0.0417,0.0303,0.0286,12.8784,10.2134,0.1376,0.9820,0.9833
