probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.1121,0.0816,0.0769,64.4580,51.7861,0.8695,0.8793
mlp,0.0650,0.0466,0.0453,47.4149,24.4873,0.9575,0.9581
