step,epoch,pred,pred_block,pred_free,sigreg,anchor,anchor_pred,total,latent_std
50,1,0.07762721925973892,0.010679484345018864,0.06694773584604263,5.450544357299805,0.9356321692466736,0.9361268877983093,1.9766390323638916,0.9555438160896301
100,1,0.13425973057746887,0.04972806200385094,0.08453166484832764,5.478141784667969,0.566076934337616,0.5704715847969055,1.298198938369751,0.9586085677146912
150,1,0.1315944492816925,0.025384915992617607,0.10620953887701035,3.7574071884155273,0.22412095963954926,0.23052839934825897,0.6050308346748352,0.9749771952629089
200,1,0.0748298317193985,0.005519662518054247,0.06931016594171524,3.2233874797821045,0.13147521018981934,0.13259784877300262,0.35501983761787415,0.9808673858642578
250,1,0.06758161634206772,0.0037053765263408422,0.06387624144554138,2.8760318756103516,0.07040411233901978,0.07072798162698746,0.22309386730194092,0.9860736131668091
300,1,0.05876735597848892,0.0033985234331339598,0.05536883324384689,2.7555899620056152,0.051477301865816116,0.05162116512656212,0.17564377188682556,0.9898859858512878
350,1,0.05835356563329697,0.0030828292947262526,0.055270735174417496,2.5717570781707764,0.05440273508429527,0.05484572798013687,0.18046081066131592,0.9915686845779419
400,1,0.05804026126861572,0.002968193730339408,0.05507206916809082,2.4923129081726074,0.05024222284555435,0.05071808025240898,0.17146211862564087,0.991745114326477
450,1,0.055514197796583176,0.002589022507891059,0.05292517691850662,2.641401529312134,0.0445391908288002,0.04478948935866356,0.15804988145828247,0.9899836778640747
500,1,0.05694485083222389,0.0026803878135979176,0.05426446348428726,2.531327486038208,0.04670664668083191,0.047214310616254807,0.16352245211601257,0.9875096678733826
550,2,0.05319110304117203,0.0022640058305114508,0.05092709884047508,2.1547114849090576,0.03804949298501015,0.03826740011572838,0.1402815580368042,0.9873709678649902
600,2,0.04909287765622139,0.002608082490041852,0.04648479446768761,2.277132034301758,0.03872276470065117,0.03891139477491379,0.13811269402503967,0.9871413707733154
650,2,0.051101382821798325,0.002123318612575531,0.048978064209222794,2.615273952484131,0.03648736700415611,0.03682621568441391,0.13749133050441742,0.9854863882064819
700,2,0.051020294427871704,0.0018213111907243729,0.04919898509979248,2.2604289054870605,0.030824555084109306,0.031127234920859337,0.12427422404289246,0.9837861657142639
750,2,0.04678947851061821,0.0014753806171938777,0.04531409963965416,2.298419952392578,0.030044591054320335,0.030323350802063942,0.11864951997995377,0.9853558540344238
800,2,0.04692107439041138,0.0017085783183574677,0.04521249607205391,2.168219566345215,0.03325122222304344,0.03335677459836006,0.12437017261981964,0.984427273273468
850,2,0.0458320677280426,0.0018195093143731356,0.044012557715177536,2.1239748001098633,0.02821771614253521,0.028160536661744118,0.11283019185066223,0.9817799925804138
900,2,0.04306019842624664,0.0017595005920156837,0.0413006991147995,2.167548656463623,0.026990894228219986,0.02724175713956356,0.10813058912754059,0.9806698560714722
950,2,0.04345317184925079,0.0018373898928985,0.04161578044295311,2.17861270904541,0.02923843264579773,0.02922719717025757,0.1128118634223938,0.981505811214447
1000,2,0.03997683525085449,0.0012793454807251692,0.038697488605976105,2.2320756912231445,0.027641400694847107,0.027725139632821083,0.10650375485420227,0.9811466932296753
1050,3,0.04283697530627251,0.0016141299856826663,0.041222844272851944,2.1525096893310547,0.025169575586915016,0.025172187015414238,0.10394128412008286,0.9807096719741821
1100,3,0.041063275188207626,0.0013931567082181573,0.03967011719942093,2.298933982849121,0.02420964650809765,0.024280650541186333,0.10104824602603912,0.9805384278297424
1150,3,0.04251658543944359,0.0014668911462649703,0.041049692779779434,2.059941291809082,0.02657063864171505,0.0267751757055521,0.10616210103034973,0.9810805320739746
1200,3,0.04039083421230316,0.00158036092761904,0.038810472935438156,2.261411666870117,0.024335049092769623,0.02455814927816391,0.10059109330177307,0.9807285070419312
1250,3,0.03759852051734924,0.0016597399953752756,0.03593878075480461,2.2170801162719727,0.026115750893950462,0.026333415880799294,0.1011330857872963,0.9794959425926208
1300,3,0.03999782353639603,0.001963043352589011,0.03803478181362152,2.112980842590332,0.025169631466269493,0.025347525253891945,0.10107988119125366,0.9808209538459778
1350,3,0.040025435388088226,0.001947673037648201,0.038077764213085175,2.2123842239379883,0.028454292565584183,0.028462490066885948,0.1080041378736496,0.9803355932235718
1400,3,0.03578399494290352,0.0014114652294665575,0.03437253087759018,2.256894588470459,0.02382611855864525,0.024003705009818077,0.0948982909321785,0.980087161064148
1450,3,0.03621423989534378,0.0012225945247337222,0.03499164432287216,2.050868034362793,0.027073530480265617,0.027143185958266258,0.10068529844284058,0.9798640012741089
1500,3,0.03220391273498535,0.0010999018559232354,0.031104009598493576,2.1275126934051514,0.020474156364798546,0.020646629855036736,0.08396226167678833,0.9785706996917725
1550,4,0.03391321003437042,0.0012759128585457802,0.03263729810714722,2.183436155319214,0.02340492606163025,0.023570368066430092,0.09180568158626556,0.9787498712539673
1600,4,0.037248048931360245,0.001487400266341865,0.03576064854860306,2.070718288421631,0.020447293296456337,0.020625915378332138,0.08867485076189041,0.9788922667503357
1650,4,0.03463408350944519,0.0012468931963667274,0.033387191593647,2.181422233581543,0.022206701338291168,0.022358441725373268,0.09010633826255798,0.9786894917488098
1700,4,0.03351148962974548,0.0011046017752960324,0.03240688890218735,2.1830010414123535,0.018747443333268166,0.018826235085725784,0.08200017362833023,0.9777380228042603
1750,4,0.03274468332529068,0.0011014901101589203,0.03164319321513176,2.0626320838928223,0.020863546058535576,0.02104654349386692,0.08496793359518051,0.9778558611869812
1800,4,0.032016027718782425,0.0013651903718709946,0.03065083734691143,2.2240095138549805,0.02136269211769104,0.02157958783209324,0.08607835322618484,0.9786615371704102
1850,4,0.029202252626419067,0.0008795222383923829,0.028322730213403702,2.162292957305908,0.018628878518939018,0.01878492534160614,0.07742752134799957,0.9787082076072693
1900,4,0.03051522932946682,0.00123816158156842,0.029277067631483078,2.20743465423584,0.020931581035256386,0.02101510763168335,0.08349908888339996,0.9782924652099609
1950,4,0.03247306868433952,0.0011772358557209373,0.03129583224654198,1.9901702404022217,0.02163117192685604,0.02168288268148899,0.08573797345161438,0.977275013923645
2000,4,0.029543211683630943,0.0010112865129485726,0.02853192575275898,1.9946359395980835,0.022792089730501175,0.023039555177092552,0.08534803241491318,0.9777768850326538
2050,5,0.030908919870853424,0.0009804849978536367,0.029928434640169144,2.2348780632019043,0.01760992221534252,0.017741385847330093,0.07743461430072784,0.9769099950790405
2100,5,0.03007468953728676,0.0007992714527063072,0.02927541732788086,2.0936124324798584,0.017184874042868614,0.017280295491218567,0.07500792294740677,0.9775779247283936
2150,5,0.03094605542719364,0.0008889537421055138,0.03005710244178772,1.9329702854156494,0.02120615355670452,0.021380802616477013,0.08319786190986633,0.9775205254554749
