pose,d0,d1,d2,d3
x,0.9985,0.0155,0.3887,0.0515
y,0.0141,0.9985,0.0111,0.3555
cos_th,0.3766,0.0140,0.9994,0.0005
sin_th,0.0493,0.3434,-0.0035,0.9994
