step,epoch,recon,dyn,pred_recon,var,anchor,anchor_pred,total,latent_std
50,1,0.5173934698104858,0.002870208118110895,0.5235115885734558,0.0,0.3029780387878418,0.30299466848373413,1.6497480869293213,0.46972036361694336
100,1,0.3782409727573395,0.0030412343330681324,0.3792837858200073,0.0,0.32473427057266235,0.3245949149131775,1.4098951816558838,0.46257781982421875
150,1,0.3476947546005249,0.002426635939627886,0.33688488602638245,0.0,0.299620121717453,0.2995085120201111,1.2861348390579224,0.47383198142051697
200,1,0.32251936197280884,0.005959663540124893,0.30753618478775024,0.0,0.332209050655365,0.331823468208313,1.3000476360321045,0.4682585597038269
250,1,0.30159249901771545,0.003265189938247204,0.28012463450431824,0.0,0.29591479897499084,0.29559481143951416,1.1764919757843018,0.4697650074958801
300,1,0.28855887055397034,0.0022405306808650494,0.2713242173194885,0.0,0.285467267036438,0.28552836179733276,1.1331193447113037,0.4637611508369446
350,1,0.2676369547843933,0.003181127831339836,0.24948644638061523,0.0,0.32929885387420654,0.329910546541214,1.179513931274414,0.45844313502311707
400,1,0.2752128839492798,0.004554819315671921,0.2516615688800812,0.0,0.33724313974380493,0.336999773979187,1.205672264099121,0.4723051190376282
450,1,0.26681286096572876,0.004620405845344067,0.25588005781173706,0.0,0.2664286494255066,0.2675146758556366,1.0612566471099854,0.47730231285095215
500,1,0.2740733027458191,0.008846109732985497,0.2612624764442444,0.0,0.21445119380950928,0.21510371565818787,0.9737367630004883,0.4825618267059326
550,1,0.28251561522483826,0.017028717324137688,0.28619325160980225,0.0,0.06307704746723175,0.06289885938167572,0.7117134928703308,0.5080548524856567
600,1,0.23448291420936584,0.00856194831430912,0.2360963225364685,0.0,0.017222918570041656,0.017154529690742493,0.5135186314582825,0.5038917064666748
650,1,0.20066747069358826,0.005442059598863125,0.20350857079029083,0.0,0.009351789951324463,0.00936315581202507,0.42833301424980164,0.4990503787994385
700,1,0.193853959441185,0.003948814235627651,0.19553343951702118,0.0,0.008463854901492596,0.008678323589265347,0.4104783833026886,0.495731920003891
750,1,0.19112733006477356,0.0038639302365481853,0.1912546455860138,0.0,0.006576418876647949,0.006741241551935673,0.39956358075141907,0.49502474069595337
800,1,0.18626007437705994,0.0030525457113981247,0.18940681219100952,0.0,0.006533455569297075,0.0065594883635640144,0.39181238412857056,0.4979848861694336
850,1,0.17932003736495972,0.002734530484303832,0.1840629279613495,0.0,0.005355263128876686,0.005379103124141693,0.3768518567085266,0.4918232262134552
900,1,0.18322278559207916,0.0021307808347046375,0.18055975437164307,0.0,0.005201681517064571,0.005133043043315411,0.3762480616569519,0.4897690415382385
950,1,0.1708904653787613,0.00192206259816885,0.17086580395698547,0.0,0.004632602445781231,0.004763846751302481,0.3530747890472412,0.485860675573349
1000,1,0.1726885885000229,0.0021914185490459204,0.1732403039932251,0.0,0.003718654392287135,0.0037913373671472073,0.3556303381919861,0.4881138205528259
1050,1,0.16811959445476532,0.0022029487881809473,0.17038026452064514,0.0,0.003843571525067091,0.003936118446290493,0.34848248958587646,0.4823991656303406
1100,1,0.15989521145820618,0.0019814856350421906,0.1618996262550354,0.0,0.003537583164870739,0.0035872040316462517,0.3309010863304138,0.49091264605522156
1150,1,0.16682299971580505,0.0018745202105492353,0.16738763451576233,0.0,0.003136994317173958,0.003150930628180504,0.3423730731010437,0.4811205267906189
1200,1,0.16512486338615417,0.0021091375965625048,0.16481579840183258,0.0,0.0027181217446923256,0.002698752796277404,0.33746665716171265,0.4791926145553589
1250,1,0.16720181703567505,0.0015605613589286804,0.16862457990646362,0.0,0.0029537887312471867,0.0029548632446676493,0.3432956039905548,0.48552775382995605
1300,1,0.15971577167510986,0.0018454043893143535,0.16505961120128632,0.0,0.002674270421266556,0.0026792269200086594,0.3319742977619171,0.4831364154815674
1350,1,0.15488111972808838,0.0016536596231162548,0.15831629931926727,0.0,0.002623537089675665,0.002717111725360155,0.32019171118736267,0.485005259513855
1400,1,0.15754491090774536,0.0015782318077981472,0.156656414270401,0.0,0.0023542779963463545,0.0023699987214058638,0.320503830909729,0.4852384328842163
1450,1,0.15368130803108215,0.0014989249175414443,0.15440456569194794,0.0,0.002831480000168085,0.0028605973348021507,0.3152768611907959,0.4845561683177948
1500,1,0.15215010941028595,0.0014429334551095963,0.152886301279068,0.0,0.0019426525104790926,0.0020261018071323633,0.3104480803012848,0.4785115718841553
1550,2,0.15198037028312683,0.0014504623832181096,0.15598833560943604,0.0,0.0019711796194314957,0.0019900654442608356,0.3133803904056549,0.4779464304447174
1600,2,0.15068745613098145,0.001252124086022377,0.15200620889663696,0.0,0.0020669042132794857,0.002080724574625492,0.308093398809433,0.4774759113788605
1650,2,0.14647099375724792,0.001076874090358615,0.15037494897842407,0.0,0.0017994639929383993,0.0017813631566241384,0.30150365829467773,0.47478803992271423
1700,2,0.15184688568115234,0.0011817365884780884,0.14995220303535461,0.0,0.0018115207785740495,0.001861303928308189,0.3066536784172058,0.47937050461769104
1750,2,0.14655664563179016,0.0015436990652233362,0.14513017237186432,0.0,0.001749680144712329,0.0017381380312144756,0.2967183589935303,0.48089537024497986
1800,2,0.14431843161582947,0.0011820481158792973,0.145661398768425,0.0,0.0017047375440597534,0.0017762328498065472,0.2946428656578064,0.47651705145835876
1850,2,0.1437162458896637,0.0011661037569865584,0.14774389564990997,0.0,0.001562532503157854,0.001609013881534338,0.29579779505729675,0.4769739806652069
1900,2,0.1439618468284607,0.0012049006763845682,0.14593595266342163,0.0,0.001846342347562313,0.0019008502131327987,0.2948499023914337,0.48032620549201965
1950,2,0.14385995268821716,0.0015372198540717363,0.14665335416793823,0.0,0.0017287380760535598,0.0017330534756183624,0.295512318611145,0.48209917545318604
2000,2,0.1476428359746933,0.0010439327452331781,0.14580973982810974,0.0,0.0016518698539584875,0.0016499910270795226,0.29779836535453796,0.47682756185531616
2050,2,0.14316274225711823,0.0009724997216835618,0.14340224862098694,0.0,0.001567356288433075,0.0015912889502942562,0.2906961441040039,0.478788822889328
2100,2,0.1386668086051941,0.0010735060786828399,0.13951674103736877,0.0,0.0015840069390833378,0.0015980970347300172,0.2824391722679138,0.4814867079257965
2150,2,0.14543160796165466,0.0011242014588788152,0.1454358696937561,0.0,0.0015986950602382421,0.0016261838609352708,0.29521656036376953,0.4803057909011841
2200,2,0.1380830854177475,0.0010017696768045425,0.14023339748382568,0.0,0.0014569313498213887,0.0014518897514790297,0.282227098941803,0.4764694571495056
2250,2,0.14155800640583038,0.0010087327100336552,0.14211103320121765,0.0,0.0014620606089010835,0.0014687032671645284,0.2876085340976715,0.4802432656288147
2300,2,0.13806413114070892,0.0010181141551584005,0.14144717156887054,0.0,0.0013804953778162599,0.0013915292220190167,0.283301442861557,0.47667309641838074
2350,2,0.13782373070716858,0.0010204357095062733,0.13661107420921326,0.0,0.0014488566666841507,0.0014486523577943444,0.2783527374267578,0.47471803426742554
2400,2,0.13443952798843384,0.0009714908082969487,0.13801544904708862,0.0,0.0012536412104964256,0.0012552603147923946,0.2759353816509247,0.4750048518180847
2450,2,0.1361323595046997,0.0010961472289636731,0.13549397885799408,0.0,0.0017105697188526392,0.001729245763272047,0.2761622965335846,0.4789843261241913
2500,2,0.1338340789079666,0.0009786258451640606,0.13544012606143951,0.0,0.0012241073418408632,0.0012389671755954623,0.27271589636802673,0.4725223183631897
2550,2,0.1332109421491623,0.0008532139472663403,0.13539011776447296,0.0,0.0013557905331254005,0.0013568063732236624,0.2721668779850006,0.4741688370704651
2600,2,0.13697463274002075,0.0009913734393194318,0.13402049243450165,0.0,0.0013191208709031343,0.0013309794012457132,0.2746365964412689,0.4722471535205841
2650,2,0.12990090250968933,0.0009749491000548005,0.13257049024105072,0.0,0.0012790054315701127,0.0012875270331278443,0.26601287722587585,0.47087034583091736
2700,2,0.13269153237342834,0.0009500730666331947,0.13513734936714172,0.0,0.0013685368467122316,0.0013725182507187128,0.2715200185775757,0.4829992949962616
2750,2,0.1327684074640274,0.000891277682967484,0.13729700446128845,0.0,0.0013786200433969498,0.0013744102325290442,0.2737097144126892,0.4787432551383972
2800,2,0.13411274552345276,0.0008208583458326757,0.13445524871349335,0.0,0.0013477676548063755,0.0013415144057944417,0.27207812666893005,0.4768221378326416
