pose,d0,d1,d2,d3
x,0.9989,0.0149,0.3998,0.0080
y,0.0097,0.9990,-0.0279,0.3920
cos_th,0.3817,-0.0327,0.9948,0.0044
sin_th,0.0026,0.3771,0.0154,0.9934
