probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0136,0.0094,0.0099,3.4985,2.9636,0.0000,0.9983,0.9980
mlp,0.0130,0.0090,0.0094,3.2364,2.7470,0.0000,0.9984,0.9982
