probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0387,0.0270,0.0277,4.5776,3.7770,0.0000,0.9857,0.9843
mlp,0.0234,0.0164,0.0166,3.9830,3.3145,0.0000,0.9947,0.9944
