probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.1226,0.0866,0.0867,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.1114,0.0834,0.0739,81.4494,76.9784,42.1348,0.0716,0.2717
mlp,0.0806,0.0552,0.0587,69.1884,57.8121,32.1348,0.5928,0.5403
