pose,d0,d1,d2,d3
x,0.9977,0.0386,0.3734,0.0313
y,0.0374,0.9986,0.0347,0.3519
cos_th,0.3589,0.0357,0.9994,0.0016
sin_th,0.0312,0.3432,0.0015,0.9994
