step,epoch,pred,pred_block,pred_free,sigreg,l1,anchor,anchor_pred,total,latent_std
50,1,0.02491025999188423,0.004591037984937429,0.020319221541285515,7.141727924346924,0.04676886647939682,1.32069993019104,1.1366560459136963,2.518021583557129,0.9650578498840332
100,1,0.02892499603331089,0.005890525411814451,0.02303447015583515,4.474442005157471,0.05037882924079895,0.9782739877700806,0.8300092816352844,1.8596309423446655,0.9613215327262878
150,1,0.07206586003303528,0.010026372969150543,0.062039490789175034,4.167682647705078,0.05064014345407486,0.9850164651870728,0.8774162530899048,1.9553875923156738,0.96147221326828
200,1,0.13980920612812042,0.060666389763355255,0.07914281636476517,4.230855941772461,0.05042942240834236,0.4789447784423828,0.4433456063270569,1.0833042860031128,0.9711906909942627
250,1,0.05490551143884659,0.013659876771271229,0.041245635598897934,3.5887370109558105,0.04983052611351013,0.26288041472435,0.19922958314418793,0.5350090265274048,0.9758768081665039
300,1,0.04493294656276703,0.0077156140469014645,0.037217333912849426,2.848905563354492,0.04897955805063248,0.19554905593395233,0.17148391902446747,0.42625942826271057,0.9730165600776672
350,1,0.04968802258372307,0.007697378285229206,0.04199064522981644,2.655717372894287,0.047960154712200165,0.1813768893480301,0.14138172566890717,0.3857731819152832,0.972389817237854
400,1,0.05169352516531944,0.0075429766438901424,0.04415054991841316,2.648250102996826,0.04670150578022003,0.2512145936489105,0.2409946173429489,0.5571906566619873,0.977317214012146
450,1,0.041211482137441635,0.0042030359618365765,0.03700844570994377,2.4018349647521973,0.0459291934967041,0.4551018178462982,0.46989938616752625,0.9782677888870239,0.9810642004013062
500,1,0.04266275465488434,0.0029210157226771116,0.03974173963069916,2.5520291328430176,0.04555514454841614,0.1278403252363205,0.09730291366577148,0.28061169385910034,0.9829336404800415
550,2,0.04440956190228462,0.0027622864581644535,0.04164727404713631,2.3266077041625977,0.04518503695726395,0.12224011868238449,0.09502804279327393,0.27335596084594727,0.9817522764205933
600,2,0.042604394257068634,0.002867672359570861,0.03973672166466713,2.372760772705078,0.045009028166532516,0.11581075191497803,0.08731526136398315,0.25763922929763794,0.9836255311965942
650,2,0.04620521515607834,0.003264075145125389,0.0429411381483078,2.398893356323242,0.044810790568590164,0.27274343371391296,0.21805439889431,0.549042284488678,0.97990882396698
700,2,0.04911993071436882,0.002425772836431861,0.046694159507751465,2.1712939739227295,0.044581517577171326,0.15705524384975433,0.1396462470293045,0.35672247409820557,0.9822279214859009
750,2,0.04094606265425682,0.002414072398096323,0.038531988859176636,2.30887508392334,0.04453654959797859,0.12162480503320694,0.09531533718109131,0.2694751024246216,0.9815973043441772
800,2,0.046072401106357574,0.0024558736477047205,0.04361652582883835,2.3477487564086914,0.04437601938843727,0.11174744367599487,0.08349622786045074,0.2530992031097412,0.9822326302528381
850,2,0.045574188232421875,0.0027901686262339354,0.04278402030467987,2.2284257411956787,0.04428417608141899,0.1193222776055336,0.09421166777610779,0.27029454708099365,0.982998251914978
900,2,0.042213451117277145,0.0018124644411727786,0.04040098562836647,2.2148942947387695,0.044243764132261276,0.11492042988538742,0.09438187628984451,0.2626344859600067,0.9837223887443542
950,2,0.042960479855537415,0.0019706767052412033,0.04098980501294136,2.41287899017334,0.04401610419154167,0.1087549701333046,0.08142483979463577,0.2452487051486969,0.9814237952232361
1000,2,0.04244600981473923,0.0015730670420452952,0.04087294265627861,2.233809471130371,0.04387347772717476,0.1067957654595375,0.08071018755435944,0.241164892911911,0.9822547435760498
1050,3,0.04244964197278023,0.001961891073733568,0.04048775136470795,2.3181264400482178,0.04380667209625244,0.12445542961359024,0.10318057984113693,0.2817201018333435,0.9827998280525208
1100,3,0.039627812802791595,0.0017509866738691926,0.03787682577967644,2.317795991897583,0.043663688004016876,0.10332661122083664,0.07708697766065598,0.23167404532432556,0.9809965491294861
1150,3,0.04096795246005058,0.001630298444069922,0.039337653666734695,2.187258720397949,0.04350841045379639,0.12566697597503662,0.10537660121917725,0.28299131989479065,0.9855471849441528
1200,3,0.037425506860017776,0.001523663871921599,0.03590184450149536,2.2312889099121094,0.04339474439620972,0.1231059581041336,0.10435321182012558,0.2760845124721527,0.9860175251960754
1250,3,0.03762810304760933,0.0017777754692360759,0.03585032746195793,2.0788934230804443,0.043184347450733185,0.09367214888334274,0.07404743134975433,0.21578532457351685,0.9840329885482788
1300,3,0.03744690865278244,0.0014904176350682974,0.0359564907848835,2.2261464595794678,0.0430857352912426,0.07985734194517136,0.061377741396427155,0.18985581398010254,0.9876886606216431
1350,3,0.0412495918571949,0.0013683236902579665,0.03988126665353775,2.1785154342651367,0.043010249733924866,0.09124407172203064,0.0677633062005043,0.2111925482749939,0.9857938289642334
1400,3,0.04242270439863205,0.00164178351406008,0.040780920535326004,2.1101503372192383,0.04293642193078995,0.08925191313028336,0.0698806494474411,0.21214896440505981,0.9840718507766724
1450,3,0.03749031946063042,0.0014063632115721703,0.03608395531773567,2.1012980937957764,0.04292180761694908,0.06550811976194382,0.05046432092785835,0.16401217877864838,0.9844874143600464
1500,3,0.042183175683021545,0.0016936690080910921,0.04048950597643852,2.213984727859497,0.04287539795041084,0.08207885921001434,0.06098031997680664,0.19635514914989471,0.9847451448440552
1550,4,0.04143910109996796,0.0013457135064527392,0.04009338840842247,2.143160343170166,0.04278009012341499,0.09162498265504837,0.0730305090546608,0.21685317158699036,0.9836821556091309
1600,4,0.03788483515381813,0.0012010927312076092,0.036683741956949234,2.103638172149658,0.04282188415527344,0.10463638603687286,0.08477263152599335,0.23785486817359924,0.9826050400733948
1650,4,0.04200578108429909,0.0013474611332640052,0.04065832123160362,2.1513614654541016,0.04273911565542221,0.0890212282538414,0.06667754054069519,0.2085041105747223,0.9834343194961548
1700,4,0.03710630536079407,0.001347324694506824,0.03575897961854935,2.1554384231567383,0.04278918355703354,0.08934295177459717,0.07355453073978424,0.21082377433776855,0.9825689196586609
1750,4,0.03740079328417778,0.00152572151273489,0.035875070840120316,2.222649097442627,0.042753078043460846,0.09117013216018677,0.07217232137918472,0.21189923584461212,0.9837281703948975
1800,4,0.03685366362333298,0.0013011202681809664,0.03555254265666008,2.091111183166504,0.042760420590639114,0.08882927894592285,0.06597570329904556,0.20215696096420288,0.9812045097351074
1850,4,0.038731660693883896,0.001331558101810515,0.037400104105472565,2.139730453491211,0.042751044034957886,0.07584863156080246,0.05934975668787956,0.18467144668102264,0.9790805578231812
1900,4,0.03833543881773949,0.0013198674423620105,0.03701557219028473,2.3392744064331055,0.042872361838817596,0.07325337082147598,0.05669350177049637,0.18002155423164368,0.9800586700439453
1950,4,0.036380473524332047,0.001227490371093154,0.03515298292040825,2.1521778106689453,0.04287237673997879,0.07882275432348251,0.06424016505479813,0.19024714827537537,0.9815369248390198
2000,4,0.038518451154232025,0.0012794046197086573,0.03723904490470886,2.0047924518585205,0.042842037975788116,0.07472134381532669,0.05576883628964424,0.1790754348039627,0.9824278354644775
2050,5,0.03665350377559662,0.0012029750505462289,0.035450529307127,1.927907943725586,0.04301195964217186,0.06096851825714111,0.04863746464252472,0.15594203770160675,0.9810231328010559
2100,5,0.03436235710978508,0.0010209378087893128,0.0333414189517498,2.1364049911499023,0.04310186579823494,0.0856020376086235,0.07049604505300522,0.20118556916713715,0.9825687408447266
2150,5,0.0375857949256897,0.0014075335348024964,0.036178261041641235,1.961155891418457,0.04310981184244156,0.08131932467222214,0.059846460819244385,0.18860048055648804,0.9800899028778076
2200,5,0.033725183457136154,0.001024841913022101,0.03270034119486809,2.1276326179504395,0.04304726794362068,0.08056246489286423,0.06332089751958847,0.18828976154327393,0.9810196161270142
2250,5,0.03818582370877266,0.0010577946668490767,0.0371280275285244,1.9615185260772705,0.04316579923033714,0.07525310665369034,0.05628448352217674,0.1795741617679596,0.9799559116363525
2300,5,0.03596971556544304,0.0009112711413763463,0.03505844622850418,2.1055424213409424,0.043414536863565445,0.10514616966247559,0.08564870059490204,0.2373357117176056,0.978242814540863
2350,5,0.03558540344238281,0.001042398507706821,0.034543003886938095,2.1030821800231934,0.043436385691165924,0.07614665478467941,0.05406525731086731,0.17635616660118103,0.9794367551803589
2400,5,0.036900199949741364,0.001044257776811719,0.035855941474437714,2.0863687992095947,0.04353252053260803,0.06636326760053635,0.04900545999407768,0.16274429857730865,0.978628396987915
2450,5,0.03439198061823845,0.0010474877199158072,0.03334449231624603,1.9447801113128662,0.043628569692373276,0.0677775964140892,0.05037662386894226,0.16231372952461243,0.9788341522216797
2500,5,0.03410831838846207,0.001122427056543529,0.03298589214682579,2.1042494773864746,0.043740566819906235,0.0788889080286026,0.06080612167716026,0.1843683421611786,0.9772343039512634
2550,6,0.036421507596969604,0.001144971582107246,0.03527653589844704,1.988155484199524,0.04408211261034012,0.08088406920433044,0.059539008885622025,0.18682944774627686,0.977260172367096
2600,6,0.032246001064777374,0.0009382123243995011,0.03130779042840004,2.1177425384521484,0.04422894865274429,0.06227175146341324,0.04703560844063759,0.1521863043308258,0.9777523279190063
2650,6,0.03308739513158798,0.0009818576509132981,0.03210553899407387,1.8257726430892944,0.0443587489426136,0.06766975671052933,0.04876457154750824,0.15869493782520294,0.9777718782424927
2700,6,0.033932071179151535,0.0010046277893707156,0.03292744234204292,1.8684550523757935,0.04453202337026596,0.0824267789721489,0.0574679970741272,0.18321366608142853,0.9783552885055542
2750,6,0.033504631370306015,0.0008265476790256798,0.03267808258533478,2.09281587600708,0.044659651815891266,0.06533645838499069,0.0504138357937336,0.1597636640071869,0.9773645997047424
2800,6,0.03443335369229317,0.000971275323536247,0.033462077379226685,1.9215195178985596,0.04473833739757538,0.07641178369522095,0.05865241959691048,0.17914989590644836,0.9778434038162231
2850,6,0.03521149605512619,0.000912498333491385,0.03429899737238884,1.9965418577194214,0.04494282230734825,0.07003512233495712,0.05271592736244202,0.16799019277095795,0.9787003397941589
