step,epoch,total,recon,dyn,pred_recon,a_v,a_omega,state_std
50,1,0.025752760469913483,0.011615052819252014,0.002532735001295805,0.011604972183704376,1.0,1.0,0.0006129394751042128
100,1,0.02381628006696701,0.010665953159332275,0.002481383504346013,0.01066894456744194,1.0,1.0,0.0006724901031702757
150,1,0.023600492626428604,0.01053842157125473,0.0025131022557616234,0.01054896879941225,1.0,1.0,0.0007497803308069706
200,1,0.023457570001482964,0.010471144691109657,0.002495933324098587,0.01049049198627472,1.0,1.0,0.0009740912355482578
250,1,0.023523010313510895,0.010521134361624718,0.00248821172863245,0.010513663291931152,1.0,1.0,0.0007764428155496716
300,1,0.02339094877243042,0.01049131527543068,0.002398612443357706,0.010501021519303322,1.0,1.0,0.0011027634609490633
350,1,0.023486295714974403,0.010455871000885963,0.002546018688008189,0.010484405793249607,1.0,1.0,0.0009093127446249127
400,1,0.023407863453030586,0.010507246479392052,0.0023836845066398382,0.010516932234168053,1.0,1.0,0.0009906534105539322
450,1,0.02351345121860504,0.010493209585547447,0.0025636390782892704,0.010456603951752186,1.0,1.0,0.0008808151469565928
500,1,0.02374768629670143,0.010519344359636307,0.0027172244153916836,0.010511116124689579,1.0,1.0,0.0005329499254003167
550,1,0.023838933557271957,0.01055027823895216,0.002768406644463539,0.010520249605178833,1.0,1.0,0.0004851165576837957
600,1,0.02358483150601387,0.010591905564069748,0.0024169301614165306,0.010575996711850166,1.0,1.0,0.0005244034109637141
650,1,0.023515162989497185,0.010453667491674423,0.002583008259534836,0.010478487238287926,1.0,1.0,0.00042978546116501093
700,1,0.023464087396860123,0.010594755411148071,0.0022834348492324352,0.010585896670818329,1.0,1.0,0.0002601264277473092
750,1,0.023733392357826233,0.010570351034402847,0.0025831079110503197,0.01057993434369564,1.0,1.0,0.00022593647008761764
800,1,0.023308221250772476,0.010427741333842278,0.0024440335109829903,0.010436445474624634,1.0,1.0,0.000259343592915684
850,1,0.023386070504784584,0.010487720370292664,0.0023990049958229065,0.010499345138669014,1.0,1.0,0.0002746483078226447
900,1,0.023421864956617355,0.010450693778693676,0.002523666014894843,0.010447505861520767,1.0,1.0,0.0002812168386299163
950,1,0.023446673527359962,0.01045122742652893,0.0025271556805819273,0.01046829018741846,1.0,1.0,0.0002658739686012268
1000,1,0.02327311411499977,0.010487928986549377,0.0022743523586541414,0.010510832071304321,1.0,1.0,0.00024935120018199086
1050,1,0.02329479530453682,0.010450871661305428,0.0024124127812683582,0.010431512258946896,1.0,1.0,0.00018961050955113024
1100,1,0.02347704954445362,0.01042703352868557,0.0026003490202128887,0.010449666529893875,1.0,1.0,0.00019962567603215575
1150,1,0.023431839421391487,0.01050676591694355,0.0023722925689071417,0.010552780702710152,1.0,1.0,0.0002034295757766813
1200,1,0.023538924753665924,0.010494224727153778,0.0025307433679699898,0.010513955727219582,1.0,1.0,0.00025383528554812074
1250,1,0.02353377640247345,0.010487454012036324,0.0025721509009599686,0.010474171489477158,1.0,1.0,0.0003749839379452169
1300,1,0.02365810051560402,0.010590104386210442,0.002466473262757063,0.010601522400975227,1.0,1.0,0.0004439202602952719
1350,1,0.023273294791579247,0.010450187139213085,0.0023856074549257755,0.010437499731779099,1.0,1.0,0.0004568174481391907
1400,1,0.023479551076889038,0.010534362867474556,0.0024006012827157974,0.01054458785802126,1.0,1.0,0.0005225410568527877
1450,1,0.023483041673898697,0.010517996735870838,0.002466039266437292,0.010499007068574429,1.0,1.0,0.000472710351459682
1500,1,0.02352660521864891,0.01049051433801651,0.0025599412620067596,0.010476149618625641,1.0,1.0,0.000487274955958128
1550,1,0.023460164666175842,0.010430993512272835,0.002595682628452778,0.01043348852545023,1.0,1.0,0.0003562640631571412
1600,1,0.02342388406395912,0.010456656105816364,0.0025398682337254286,0.010427359491586685,1.0,1.0,0.00034400203730911016
1650,2,0.02352154813706875,0.010540146380662918,0.0024539679288864136,0.010527433827519417,1.0,1.0,0.00027757318457588553
1700,2,0.023450728505849838,0.010460710152983665,0.0025204725097864866,0.010469545610249043,1.0,1.0,0.00034241913817822933
1750,2,0.023778971284627914,0.010527288541197777,0.0026974661741405725,0.010554217733442783,1.0,1.0,0.0005526597378775477
1800,2,0.023360352963209152,0.010503925383090973,0.0023688729852437973,0.010487555526196957,1.0,1.0,0.000518626591656357
1850,2,0.02383996732532978,0.010635875165462494,0.002596211154013872,0.010607881471514702,1.0,1.0,0.0007171098259277642
1900,2,0.02341855689883232,0.01047991868108511,0.0024477550759911537,0.010490884073078632,1.0,1.0,0.0007374522392638028
1950,2,0.023475628346204758,0.010431037284433842,0.002613549353554845,0.01043104100972414,1.0,1.0,0.0010153490584343672
2000,2,0.023282386362552643,0.010452460497617722,0.0023954715579748154,0.010434453375637531,1.0,1.0,0.0012487075291574001
2050,2,0.02359771355986595,0.010530101135373116,0.002521323971450329,0.010546289384365082,1.0,1.0,0.0018202982610091567
2100,2,0.023558154702186584,0.010517946444451809,0.002496258821338415,0.010543949902057648,1.0,1.0,0.003083560150116682
2150,2,0.023452352732419968,0.010482702404260635,0.002480893163010478,0.010488756000995636,1.0,1.0,0.0038468346465379
2200,2,0.02342408150434494,0.010401884093880653,0.0026247252244502306,0.010397473350167274,1.0,1.0,0.006689296569675207
2250,2,0.02343200147151947,0.010442888364195824,0.0025135730393230915,0.010475539602339268,1.0,1.0,0.030570777133107185
