step,epoch,total,recon,dyn,pred_recon,var,anchor,anchor_pred,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,1.910159707069397,0.6304664015769958,0.002651890739798546,0.6379420757293701,0.0,0.31953859329223633,0.3195607364177704,1.0,1.0,0.47485562413930893,0.2452128678560257,0.24016089737415314,0.6818930506706238,0.7321556806564331
100,1,1.3800551891326904,0.39286160469055176,0.0021908357739448547,0.38845279812812805,0.0,0.2983332872390747,0.2982167601585388,1.0,1.0,0.4714881666004658,0.23597018420696259,0.24648180603981018,0.7171157598495483,0.686384916305542
150,1,1.2925089597702026,0.34392186999320984,0.0018871885258704424,0.33833107352256775,0.0,0.30437278747558594,0.3039960265159607,1.0,1.0,0.46929071843624115,0.23502217233181,0.22842498123645782,0.6953344941139221,0.7183812260627747
200,1,1.2919740676879883,0.3243021070957184,0.0022976151667535305,0.3132491707801819,0.0,0.3262830972671509,0.32584208250045776,1.0,1.0,0.46063826605677605,0.20711469650268555,0.21928702294826508,0.712947428226471,0.7032039165496826
250,1,1.2191693782806396,0.3005991578102112,0.0039921533316373825,0.2881689965724945,0.0,0.31335362792015076,0.31305545568466187,1.0,1.0,0.470100287348032,0.23236998915672302,0.23283319175243378,0.7224117517471313,0.6927862167358398
300,1,1.1506397724151611,0.2861330509185791,0.002913406118750572,0.27000948786735535,0.0,0.2958800792694092,0.2957037687301636,1.0,1.0,0.4637942649424076,0.21776770055294037,0.2219749391078949,0.7118327021598816,0.7036017179489136
350,1,1.1226518154144287,0.26804614067077637,0.003232501447200775,0.2600054144859314,0.0,0.29570096731185913,0.29566675424575806,1.0,1.0,0.4700491912662983,0.2200469821691513,0.24620643258094788,0.69504314661026,0.718900203704834
400,1,1.075943946838379,0.2643883228302002,0.002778120804578066,0.26033270359039307,0.0,0.274170458316803,0.2742743492126465,1.0,1.0,0.47886742278933525,0.2394314855337143,0.2597665786743164,0.702548086643219,0.7137235403060913
450,1,0.9362285137176514,0.2760573625564575,0.00899449922144413,0.26260828971862793,0.0,0.19421060383319855,0.19435784220695496,1.0,1.0,0.49225373566150665,0.2742767930030823,0.2778457999229431,0.7012244462966919,0.7156679034233093
500,1,0.7083333134651184,0.285479336977005,0.010703185573220253,0.2980003356933594,0.0,0.057207584381103516,0.056942906230688095,1.0,1.0,0.5030743181705475,0.30070996284484863,0.2951030135154724,0.7020747065544128,0.714409589767456
550,1,0.5140042304992676,0.23259276151657104,0.009268955327570438,0.23193281888961792,0.0,0.020152941346168518,0.02005678229033947,1.0,1.0,0.499774307012558,0.29555994272232056,0.2907372713088989,0.7101555466651917,0.7026444673538208
600,2,0.4607095420360565,0.21879220008850098,0.0037210702430456877,0.2197428196668625,0.0,0.009259792976081371,0.009193654172122478,1.0,1.0,0.5013930648565292,0.2950969934463501,0.297185480594635,0.6974337697029114,0.7158560156822205
650,2,0.41894543170928955,0.19924362003803253,0.0025003631599247456,0.201665997505188,0.0,0.007804736495018005,0.007730736397206783,1.0,1.0,0.49474093317985535,0.28928589820861816,0.28086966276168823,0.6702570915222168,0.7385510802268982
700,2,0.42136910557746887,0.19919054210186005,0.0035185699816793203,0.20313164591789246,0.0,0.007790496107190847,0.0077378470450639725,1.0,1.0,0.4977601394057274,0.29205071926116943,0.2839474380016327,0.7172909379005432,0.6977514624595642
750,2,0.39751479029655457,0.19035008549690247,0.0024849772453308105,0.1919253170490265,0.0,0.006391758099198341,0.0063626328483223915,1.0,1.0,0.49831563979387283,0.30323120951652527,0.27412497997283936,0.6849362850189209,0.7309700846672058
800,2,0.3865799605846405,0.18602900207042694,0.001953252125531435,0.18837900459766388,0.0,0.00512486370280385,0.005093833431601524,1.0,1.0,0.49131953716278076,0.2770080268383026,0.27447524666786194,0.716645359992981,0.6971495151519775
850,2,0.37099549174308777,0.17755165696144104,0.0018806034931913018,0.18227972090244293,0.0,0.0046654087491333485,0.004618098959326744,1.0,1.0,0.49008017033338547,0.2620779871940613,0.2909000813961029,0.7264280915260315,0.6809145212173462
900,2,0.35399648547172546,0.16994687914848328,0.0015448039630427957,0.17430582642555237,0.0,0.004121799487620592,0.004077178426086903,1.0,1.0,0.4835542216897011,0.2669394612312317,0.25830724835395813,0.7186898589134216,0.6902803182601929
950,2,0.36510011553764343,0.17655374109745026,0.0016806564526632428,0.17894592881202698,0.0,0.0039695147424936295,0.003950264770537615,1.0,1.0,0.49026425927877426,0.27041423320770264,0.27698519825935364,0.7084510326385498,0.705206573009491
1000,2,0.3490758538246155,0.167662113904953,0.0021015945822000504,0.17136722803115845,0.0,0.003982015885412693,0.003962911665439606,1.0,1.0,0.48948515951633453,0.2684411108493805,0.27604761719703674,0.7163544297218323,0.6970974802970886
1050,2,0.3495314419269562,0.16843841969966888,0.0017010304145514965,0.17157024145126343,0.0,0.003920755814760923,0.003900993149727583,1.0,1.0,0.48938579857349396,0.26739516854286194,0.2758162319660187,0.7119863629341125,0.7023454308509827
1100,2,0.33902299404144287,0.16553965210914612,0.0014012905303388834,0.1652364432811737,0.0,0.0034370622597634792,0.003408510470762849,1.0,1.0,0.48115795105695724,0.2593008875846863,0.2563977539539337,0.7093486189842224,0.6995845437049866
1150,3,0.34259817004203796,0.16585783660411835,0.0017215736443176866,0.1690245121717453,0.0,0.003010114189237356,0.0029841135255992413,1.0,1.0,0.4857061505317688,0.26853442192077637,0.25784552097320557,0.713947594165802,0.7024970650672913
1200,3,0.32678377628326416,0.1598309874534607,0.0015510569792240858,0.15931397676467896,0.0,0.003047684673219919,0.0030400699470192194,1.0,1.0,0.48474394530057907,0.2664361298084259,0.2579774260520935,0.7055593729019165,0.7090028524398804
1250,3,0.32355764508247375,0.15970346331596375,0.001307375030592084,0.15705230832099915,0.0,0.0027566230855882168,0.0027378892991691828,1.0,1.0,0.47790590301156044,0.24729622900485992,0.2518407702445984,0.6937394142150879,0.7187471985816956
1300,3,0.3250221014022827,0.15657122433185577,0.0012404711451381445,0.16103316843509674,0.0,0.003100801259279251,0.003076439956203103,1.0,1.0,0.4878579080104828,0.26209449768066406,0.2725523114204407,0.7178029417991638,0.6989818811416626
1350,3,0.31704577803611755,0.1544875055551529,0.0013780966401100159,0.15619529783725739,0.0,0.002504930831491947,0.0024799550883471966,1.0,1.0,0.4835462123155594,0.26726004481315613,0.2540205419063568,0.7070136070251465,0.7058906555175781
1400,3,0.3246051073074341,0.1586170494556427,0.0015273531898856163,0.15833984315395355,0.0,0.0030717267654836178,0.0030491482466459274,1.0,1.0,0.48203057795763016,0.255131334066391,0.2634485960006714,0.7101183533668518,0.6994240283966064
1450,3,0.32244086265563965,0.1567593216896057,0.0010132082970812917,0.1593538522720337,0.0,0.002662409795448184,0.002652035793289542,1.0,1.0,0.4815693274140358,0.2581269145011902,0.25563058257102966,0.7172258496284485,0.6952939629554749
1500,3,0.32446932792663574,0.1581859439611435,0.0011880635283887386,0.16024568676948547,0.0,0.0024362169206142426,0.0024133946280926466,1.0,1.0,0.47666018828749657,0.24311845004558563,0.2505592703819275,0.7184296250343323,0.6945334076881409
1550,3,0.3101159334182739,0.15148812532424927,0.0012404621811583638,0.15309961140155792,0.0,0.0021529244258999825,0.0021347906440496445,1.0,1.0,0.479921892285347,0.2508576214313507,0.25274643301963806,0.6849833726882935,0.7311001420021057
