probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0919,0.0636,0.0664,56.6611,44.6798,22.7990,0.9208,0.9100
mlp,0.0808,0.0577,0.0566,55.0890,43.4997,21.3225,0.9348,0.9347
