step,epoch,total,recon,dyn,pred_recon,anchor,anchor_pred,gain,a_v_mean
50,1,1.6053999662399292,0.5314168930053711,0.02796153724193573,0.5270366668701172,0.2595769166946411,0.25940796732902527,0.0,0.9770828485488892
100,2,1.4277539253234863,0.5316352248191833,0.06473225355148315,0.5076161623001099,0.16228294372558594,0.1614874005317688,0.0,0.4760470390319824
150,2,1.0214238166809082,0.4284451901912689,0.04478102922439575,0.42201387882232666,0.06189890205860138,0.06428487598896027,0.0,1.5385689735412598
200,3,0.8554726839065552,0.39030393958091736,0.037020038813352585,0.38517093658447266,0.021518956869840622,0.021458882838487625,0.0,0.7092307806015015
250,3,0.7670860290527344,0.35944974422454834,0.025606198236346245,0.36068350076675415,0.010640192776918411,0.010706348344683647,0.0,0.9461464881896973
300,4,0.7258056402206421,0.3504083752632141,0.011170062236487865,0.3504422605037689,0.00693907355889678,0.0068459175527095795,0.0,0.9237513542175293
350,4,0.6865019798278809,0.33342835307121277,0.00980064645409584,0.33202171325683594,0.0056624095886945724,0.005588873289525509,0.0,0.9061357975006104
400,5,0.6695232391357422,0.32678863406181335,0.00705738365650177,0.3258056342601776,0.004970958922058344,0.0049006324261426926,0.0,0.9021487236022949
450,5,0.6510500311851501,0.3166390657424927,0.0075359526090323925,0.31755274534225464,0.004690177738666534,0.004632061347365379,0.0,0.9090498685836792
500,6,0.6364333629608154,0.3123224675655365,0.005056568421423435,0.3106721043586731,0.004267293959856033,0.0041149333119392395,0.0,0.9060380458831787
550,6,0.6290193200111389,0.30898317694664,0.005445666145533323,0.30758216977119446,0.003506497945636511,0.0035018380731344223,0.0,0.9060152769088745
600,7,0.6149538159370422,0.3024643063545227,0.005760186817497015,0.3008694052696228,0.002945428481325507,0.002914468990638852,0.0,0.9003026485443115
650,7,0.6045723557472229,0.29724210500717163,0.004466226324439049,0.2973482310771942,0.0027644867077469826,0.0027512842789292336,0.0,0.8870411515235901
700,8,0.5968686938285828,0.29475137591362,0.004590002819895744,0.29331427812576294,0.0021221484057605267,0.0020908727310597897,0.0,0.8736603856086731
750,9,0.6031492948532104,0.29758554697036743,0.005472647491842508,0.2945680022239685,0.0028171634767204523,0.00270593399181962,0.0,0.8592749834060669
800,9,0.5881386399269104,0.2887984812259674,0.006140511482954025,0.2889375388622284,0.0021507441997528076,0.0021113501861691475,0.0,0.8417192697525024
850,10,0.5877159237861633,0.2896963655948639,0.005224922671914101,0.28843629360198975,0.0022083099465817213,0.0021500876173377037,0.0,0.8365855813026428
900,10,0.5810131430625916,0.2866036295890808,0.0040824138559401035,0.28680992126464844,0.0017892583273351192,0.0017279572784900665,0.0,0.827479898929596
950,11,0.5750629901885986,0.2856450378894806,0.004023137968033552,0.28198501467704773,0.0017254998674616218,0.0016842872137203813,0.0,0.8108246922492981
1000,11,0.57817542552948,0.2853963077068329,0.0045914845541119576,0.28415170311927795,0.0020528691820800304,0.0019831224344670773,0.0,0.8086820840835571
1050,12,0.5723039507865906,0.28200316429138184,0.0032763194758445024,0.28283217549324036,0.0021206699311733246,0.0020716222934424877,0.0,0.7976057529449463
1100,12,0.5688930749893188,0.28143343329429626,0.002824226161465049,0.28146857023239136,0.0016016403678804636,0.001565212500281632,0.0,0.7936854362487793
1150,13,0.5626018643379211,0.27797001600265503,0.003819091711193323,0.27713847160339355,0.0018510193331167102,0.0018232834991067648,0.0,0.7895162105560303
1200,13,0.5658966898918152,0.2797176241874695,0.004197412636131048,0.27845507860183716,0.001786157488822937,0.0017403976526111364,0.0,0.7895201444625854
1250,14,0.5552862882614136,0.2737765312194824,0.005679529160261154,0.272519588470459,0.00168683473020792,0.001623890595510602,0.0,0.7846049666404724
1300,14,0.5608077645301819,0.2770352363586426,0.003515385091304779,0.27693644165992737,0.0016868317034095526,0.0016338753048330545,0.0,0.7806470394134521
1350,15,0.5614662170410156,0.27702146768569946,0.0033643462229520082,0.2773386240005493,0.0019050120608881116,0.001836688257753849,0.0,0.7783446311950684
1400,16,0.5662087798118591,0.2801167070865631,0.003914485219866037,0.27663928270339966,0.0027878028340637684,0.002750462619587779,0.0,0.7583401203155518
1450,16,0.5464690923690796,0.27095210552215576,0.004193214233964682,0.26789772510528564,0.0017427655402570963,0.0016832974506542087,0.0,0.7845500707626343
1500,17,0.5475795865058899,0.2707822918891907,0.004404113627970219,0.2685600817203522,0.0019428501836955547,0.001890270272269845,0.0,0.7756667137145996
