step,epoch,total,recon,dyn,pred_recon,var,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,0.06963273882865906,0.0034375200048089027,0.017751134932041168,0.0034461026079952717,0.04499798268079758,1.0,1.0,0.06674525028211065,0.00037794822128489614,0.00013750820653513074,0.13063456118106842,0.13583098351955414
100,2,0.02936427667737007,0.0034109256230294704,0.022494088858366013,0.0034592619631439447,0.0,1.0,1.0,0.16117459535598755,0.13050855696201324,0.14613841474056244,0.1691170632839203,0.19893434643745422
150,2,0.0419340655207634,0.0034195291809737682,0.035068340599536896,0.003446197137236595,0.0,1.0,1.0,0.202314468100667,0.12413530796766281,0.18188726902008057,0.1883247345685959,0.31491056084632874
200,3,0.03078576922416687,0.0034323991276323795,0.023906899616122246,0.0034464700147509575,0.0,1.0,1.0,0.13804605044424534,0.10057235509157181,0.17136694490909576,0.108284592628479,0.17196030914783478
250,3,0.03668687120079994,0.003409376833587885,0.029890911653637886,0.0033865836448967457,0.0,1.0,1.0,0.19707002118229866,0.2099103480577469,0.16778364777565002,0.16607318818569183,0.2445129007101059
300,4,0.03913896530866623,0.0033962291199713945,0.03235035017132759,0.0033923862501978874,0.0,1.0,1.0,0.23215539008378983,0.22702857851982117,0.24445660412311554,0.21288952231407166,0.24424685537815094
350,4,0.03290374577045441,0.0033737700432538986,0.02611495368182659,0.0034150213468819857,0.0,1.0,1.0,0.14832868054509163,0.15364910662174225,0.14512385427951813,0.13640718162059784,0.1581345796585083
400,5,0.03301985561847687,0.003405227791517973,0.026221003383398056,0.003393625607714057,0.0,1.0,1.0,0.18038148619234562,0.11435715109109879,0.15574659407138824,0.17492340505123138,0.27649879455566406
450,5,0.030565932393074036,0.003359873779118061,0.023770583793520927,0.0034354738891124725,0.0,1.0,1.0,0.15212641470134258,0.11352479457855225,0.12066405266523361,0.13927586376667023,0.23504094779491425
500,6,0.02985224686563015,0.003371903207153082,0.02305903099477291,0.0034213121980428696,0.0,1.0,1.0,0.16343389451503754,0.13861365616321564,0.1518670618534088,0.1420176923274994,0.2212371677160263
550,6,0.032477155327796936,0.003382734954357147,0.025664344429969788,0.003430077340453863,0.0,1.0,1.0,0.1738257259130478,0.16769903898239136,0.17045503854751587,0.14487646520137787,0.21227236092090607
600,7,0.028906388208270073,0.003336404450237751,0.022185686975717545,0.003384298412129283,0.0,1.0,1.0,0.140927841886878,0.11378767341375351,0.14934828877449036,0.10949768126010895,0.19107772409915924
650,8,0.031595006585121155,0.003324201563373208,0.024856742471456528,0.003414064645767212,0.0,1.0,1.0,0.15711897797882557,0.11196322739124298,0.15632018446922302,0.12490309029817581,0.23528940975666046
700,8,0.027494734153151512,0.0033420431427657604,0.020766563713550568,0.003386127296835184,0.0,1.0,1.0,0.15844503231346607,0.11657077074050903,0.11463756114244461,0.11500042676925659,0.28757137060165405
750,9,0.028040215373039246,0.0034078052267432213,0.021224185824394226,0.0034082243219017982,0.0,1.0,1.0,0.17301966436207294,0.12223850190639496,0.17506501078605652,0.11064367741346359,0.2841314673423767
800,9,0.031614307314157486,0.003421095199882984,0.024751249700784683,0.003441963344812393,0.0,1.0,1.0,0.15103022754192352,0.12457183003425598,0.15564201772212982,0.1858212947845459,0.1380857676267624
850,10,0.03140600770711899,0.0034169978462159634,0.024571524932980537,0.0034174842294305563,0.0,1.0,1.0,0.17473484575748444,0.1304662972688675,0.21642829477787018,0.1887197196483612,0.16332507133483887
900,10,0.027661006897687912,0.0034012040123343468,0.020812254399061203,0.0034475470893085003,0.0,1.0,1.0,0.12053733691573143,0.13750025629997253,0.11206360161304474,0.12864358723163605,0.1039419025182724
950,11,0.026903044432401657,0.0033557829447090626,0.020140375941991806,0.0034068869426846504,0.0,1.0,1.0,0.12317912094295025,0.09963448345661163,0.12349025160074234,0.13008622825145721,0.1395055204629898
1000,11,0.02639235183596611,0.003385057207196951,0.01956423558294773,0.003443058580160141,0.0,1.0,1.0,0.11097477935254574,0.11052599549293518,0.10067228972911835,0.1050003245472908,0.12770050764083862
1050,12,0.026249384507536888,0.0033552986569702625,0.019481228664517403,0.0034128581173717976,0.0,1.0,1.0,0.1505509801208973,0.15416771173477173,0.11918655037879944,0.16013507544994354,0.16871458292007446
1100,12,0.028155503794550896,0.003364457283169031,0.021352320909500122,0.003438725834712386,0.0,1.0,1.0,0.12794007919728756,0.1463710367679596,0.11706643551588058,0.1406538337469101,0.10766901075839996
1150,13,0.03158234804868698,0.0033737849444150925,0.02018238604068756,0.003420628374442458,0.004605546593666077,1.0,1.0,0.14727106876671314,0.2127784937620163,0.08096258342266083,0.18099579215049744,0.11434740573167801
1200,14,0.026673071086406708,0.0033826283179223537,0.019884858280420303,0.0034055840224027634,0.0,1.0,1.0,0.13670226000249386,0.12776701152324677,0.10829196125268936,0.1849210560321808,0.12582901120185852
1250,14,0.02756333537399769,0.003353192936629057,0.020796190947294235,0.003413951490074396,0.0,1.0,1.0,0.13345194794237614,0.13735805451869965,0.1287279576063156,0.1466691941022873,0.121052585542202
1300,15,0.026224477216601372,0.0033995872363448143,0.019428588449954987,0.0033963003661483526,0.0,1.0,1.0,0.1607365719974041,0.14147616922855377,0.13839489221572876,0.20213870704174042,0.16093651950359344
1350,15,0.03229492902755737,0.0033837545197457075,0.023697201162576675,0.0034028005320578814,0.0018111709505319595,1.0,1.0,0.14197230152785778,0.17393812537193298,0.09221469610929489,0.15916724503040314,0.1425691395998001
1400,16,0.032471321523189545,0.0033399881795048714,0.02411050908267498,0.0033725674729794264,0.001648256555199623,1.0,1.0,0.13076291978359222,0.11311260610818863,0.09287014603614807,0.20349560678005219,0.11357332020998001
1450,16,0.027851540595293045,0.003370249178260565,0.017553785815835,0.0033693406730890274,0.0035581644624471664,1.0,1.0,0.11132501624524593,0.1133495569229126,0.09246505796909332,0.14726291596889496,0.09222253412008286
1500,17,0.04128143563866615,0.0033892779611051083,0.030768457800149918,0.0033535941038280725,0.003770105540752411,1.0,1.0,0.18259323202073574,0.18282963335514069,0.08432873338460922,0.3147120773792267,0.14850248396396637
1550,17,0.037328705191612244,0.0034228318836539984,0.024048753082752228,0.0034059102181345224,0.006451210007071495,1.0,1.0,0.16049711406230927,0.22436931729316711,0.07351817935705185,0.24003763496875763,0.10406332463026047
1600,18,0.04000677540898323,0.00342118414118886,0.03318740800023079,0.0033981851302087307,0.0,1.0,1.0,0.19917213916778564,0.19959935545921326,0.14829754829406738,0.2771058976650238,0.17168575525283813
1650,18,0.02859579399228096,0.003416024148464203,0.021787749603390694,0.0033920209389179945,0.0,1.0,1.0,0.1501103714108467,0.13486288487911224,0.11204701662063599,0.23252160847187042,0.12100997567176819
1700,19,0.029989536851644516,0.003404590766876936,0.02181728556752205,0.003384072333574295,0.0013835877180099487,1.0,1.0,0.12125284597277641,0.10786814987659454,0.10163312405347824,0.1815752387046814,0.09393487125635147
