probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.0520,0.0360,0.0375,64.4141,52.3918,0.9745,0.9713
mlp,0.0289,0.0218,0.0189,53.6869,18.8878,0.9906,0.9927
