step,epoch,total,recon,anchor,rollout,a_v,a_omega
50,1,1.6421148777008057,0.657312273979187,0.48692578077316284,0.4978768825531006,0.9535475373268127,0.9942008256912231
100,2,1.2577766180038452,0.44601738452911377,0.3993832468986511,0.4123760163784027,0.9098762273788452,0.9382805228233337
150,3,1.1524462699890137,0.3765490651130676,0.3829987347126007,0.39289844036102295,0.8711072206497192,0.8878520727157593
200,3,0.577427864074707,0.46845656633377075,0.054673001170158386,0.054298292845487595,0.8380308151245117,0.8542013764381409
250,4,0.3820488154888153,0.3469201624393463,0.017613884061574936,0.017514770850539207,0.8275428414344788,0.8621412515640259
300,5,0.3239710032939911,0.3039575517177582,0.009681866504251957,0.010331585071980953,0.8209003210067749,0.8811972141265869
350,6,0.29818129539489746,0.28134971857070923,0.00828218087553978,0.008549394086003304,0.8144921064376831,0.9014718532562256
400,6,0.29009273648262024,0.2717955410480499,0.009092653170228004,0.009204525500535965,0.8074801564216614,0.9201680421829224
450,7,0.26921015977859497,0.2566922903060913,0.006141601596027613,0.006376257166266441,0.8007016181945801,0.9359896779060364
500,8,0.26242929697036743,0.25049611926078796,0.00590513925999403,0.006028030999004841,0.7937489151954651,0.9487454295158386
550,8,0.2553432881832123,0.24436327815055847,0.005368060432374477,0.005611966364085674,0.7866486310958862,0.9582972526550293
600,9,0.2449125051498413,0.2344215363264084,0.005191555712372065,0.00529942661523819,0.7798773050308228,0.965887725353241
650,10,0.2407841980457306,0.23173347115516663,0.004498513415455818,0.0045522162690758705,0.7734463214874268,0.971246063709259
700,11,0.23093880712985992,0.22132384777069092,0.004790729843080044,0.004824239760637283,0.7672173380851746,0.9751827120780945
750,11,0.2320438027381897,0.22266489267349243,0.00463379081338644,0.004745129495859146,0.7610700726509094,0.9780515432357788
800,12,0.22396476566791534,0.21555042266845703,0.0041364338248968124,0.004277909640222788,0.7552579045295715,0.9794406294822693
850,13,0.21079152822494507,0.2022572010755539,0.004179686773568392,0.004354644566774368,0.7502663135528564,0.9813423156738281
900,14,0.20911669731140137,0.20081928372383118,0.004098192788660526,0.004199220798909664,0.7452667951583862,0.9828190207481384
950,14,0.21053488552570343,0.20212095975875854,0.004167669452726841,0.004246251191943884,0.7408329844474792,0.9823799729347229
1000,15,0.20022577047348022,0.19274017214775085,0.0036962078884243965,0.0037893911357969046,0.7362809777259827,0.9842235445976257
1050,16,0.1963505744934082,0.18880261480808258,0.0037474269047379494,0.003800520207732916,0.7325923442840576,0.9848964214324951
1100,16,0.2003641128540039,0.19327357411384583,0.003522684331983328,0.003567860461771488,0.7287911772727966,0.9849228858947754
1150,17,0.19322657585144043,0.18648210167884827,0.0033544758334755898,0.0033899981062859297,0.7257928252220154,0.9849260449409485
1200,18,0.19131018221378326,0.1837993562221527,0.0037038696464151144,0.0038069679867476225,0.7223696708679199,0.9861681461334229
1250,19,0.18664532899856567,0.1802821159362793,0.003149211872369051,0.0032139986287802458,0.7197386622428894,0.9860194325447083
1300,19,0.17912162840366364,0.17246630787849426,0.0033120219595730305,0.0033433041535317898,0.7173507213592529,0.9858095049858093
1350,20,0.18116939067840576,0.17472070455551147,0.0031779580749571323,0.003270726650953293,0.7152277231216431,0.9866799712181091
1400,21,0.1746252030134201,0.16814611852169037,0.003202395047992468,0.003276688512414694,0.7129524350166321,0.9872433543205261
1450,22,0.16934742033481598,0.1627582460641861,0.0032954446505755186,0.0032937293872237206,0.7112342119216919,0.9871655106544495
1500,22,0.17038145661354065,0.16425776481628418,0.0030646082013845444,0.003059094538912177,0.7094851732254028,0.986970841884613
1550,23,0.17482849955558777,0.16854138672351837,0.003124147653579712,0.0031629714649170637,0.7084424495697021,0.9872947335243225
1600,24,0.16851241886615753,0.16202795505523682,0.0032074321061372757,0.0032770386897027493,0.7069076895713806,0.9867400527000427
1650,24,0.16972123086452484,0.16390667855739594,0.0029068905860185623,0.0029076584614813328,0.7058599591255188,0.9868443608283997
1700,25,0.16799695789813995,0.16204649209976196,0.0029836208559572697,0.0029668458737432957,0.7046250700950623,0.9872667789459229
1750,26,0.16596336662769318,0.16091588139533997,0.0024956357665359974,0.002551846671849489,0.7038701176643372,0.9872196912765503
1800,27,0.16313694417476654,0.15768244862556458,0.0027195748407393694,0.002734917914494872,0.7028201222419739,0.9883173704147339
1850,27,0.16911546885967255,0.16304853558540344,0.0029983753338456154,0.0030685467645525932,0.7021294236183167,0.9875232577323914
1900,28,0.15919147431850433,0.15375077724456787,0.0027036054525524378,0.0027370965108275414,0.7008254528045654,0.9878297448158264
1950,29,0.16192826628684998,0.1559026837348938,0.002987345214933157,0.003038236405700445,0.7004249691963196,0.9876582622528076
2000,29,0.15811030566692352,0.15282389521598816,0.0026173919904977083,0.0026690205559134483,0.6999386548995972,0.9875128865242004
2050,30,0.15894152224063873,0.15345311164855957,0.0027156334836035967,0.0027727733831852674,0.6995514035224915,0.9876224398612976
2100,31,0.1510438621044159,0.1454957127571106,0.0027537038549780846,0.0027944433968514204,0.6988945007324219,0.9886747598648071
2150,32,0.15653732419013977,0.15052862465381622,0.0029618223197758198,0.0030468758195638657,0.6986270546913147,0.9892002940177917
2200,32,0.1549752801656723,0.14952076971530914,0.0026937145739793777,0.002760795410722494,0.698525607585907,0.987694501876831
2250,33,0.15121135115623474,0.14646528661251068,0.0023570519406348467,0.002389012137427926,0.6982350945472717,0.9873951077461243
2300,34,0.15569373965263367,0.15000224113464355,0.0028071454726159573,0.0028843514155596495,0.697457492351532,0.9879427552223206
2350,35,0.14772412180900574,0.14239215850830078,0.002642327453941107,0.00268963142298162,0.697401762008667,0.9878359436988831
2400,35,0.151524156332016,0.14655178785324097,0.0024688811972737312,0.00250348262488842,0.6966152787208557,0.9879027605056763
2450,36,0.14853903651237488,0.14296835660934448,0.0027427352033555508,0.002827939111739397,0.6968190670013428,0.9865798950195312
2500,37,0.14681454002857208,0.14206258952617645,0.002346436958760023,0.0024055088870227337,0.6968252062797546,0.9890321493148804
2550,37,0.1489640474319458,0.14373371005058289,0.0025682488922029734,0.0026620933786034584,0.6964861154556274,0.9874488711357117
2600,38,0.14668849110603333,0.1415594518184662,0.00251888413913548,0.0026101642288267612,0.6965042352676392,0.9867454767227173
2650,39,0.14244085550308228,0.13798201084136963,0.0022066242527216673,0.002252213889732957,0.6959942579269409,0.9883779883384705
2700,40,0.14638139307498932,0.1420753300189972,0.0021443294826895,0.002161729149520397,0.6959983110427856,0.9893015623092651
