step,epoch,pred,pred_block,pred_free,sigreg,anchor,anchor_pred,total,latent_std
50,1,0.03603257238864899,0.003800146747380495,0.03223242610692978,4.601253032684326,0.3182372748851776,0.31796199083328247,0.6952380537986755,0.9889175891876221
100,1,0.2475905865430832,0.052767544984817505,0.19482304155826569,4.4040021896362305,0.21852678060531616,0.21754910051822662,0.7056864500045776,0.9969550371170044
150,1,0.08711139857769012,0.03390633314847946,0.053205061703920364,3.377784013748169,0.08121024817228317,0.0810341089963913,0.26624464988708496,1.0034139156341553
200,1,0.08402419835329056,0.013997639529407024,0.07002656161785126,2.707005023956299,0.020687870681285858,0.02072133868932724,0.13896843791007996,1.0003241300582886
250,1,0.06542862206697464,0.008835087530314922,0.05659353360533714,2.690800189971924,0.009278839454054832,0.009300779551267624,0.0974622368812561,0.9987435936927795
300,1,0.05872080475091934,0.003335695480927825,0.05538510903716087,2.522493362426758,0.006296755746006966,0.006344336085021496,0.08397436887025833,0.99672532081604
350,1,0.05924684926867485,0.005217107478529215,0.054029740393161774,2.558720111846924,0.011380084790289402,0.011380527168512344,0.09480106830596924,0.9956212639808655
400,1,0.07453594356775284,0.004850818309932947,0.06968512386083603,2.395231246948242,0.011775841005146503,0.011772717349231243,0.1100606620311737,0.9988707900047302
450,1,0.05371721461415291,0.0037810574285686016,0.04993615671992302,2.5292043685913086,0.006510583683848381,0.006516467314213514,0.07939028739929199,0.9940189123153687
500,1,0.06770683079957962,0.004875474609434605,0.06283135712146759,2.502147912979126,0.011901626363396645,0.011885633692145348,0.10400483012199402,1.0010716915130615
550,1,0.05905453488230705,0.00404492998495698,0.05500960350036621,3.3051247596740723,0.008559968322515488,0.008569225668907166,0.09270934760570526,0.9988605976104736
600,1,0.05522024631500244,0.006596377119421959,0.04862387105822563,2.890784502029419,0.009649543091654778,0.009657314047217369,0.088981032371521,1.0063202381134033
650,1,0.06939934939146042,0.005559749901294708,0.06383959949016571,2.970884323120117,0.008211547508835793,0.008218303322792053,0.10068362206220627,1.0019645690917969
700,1,0.07622397691011429,0.01072644628584385,0.06549753248691559,2.861793279647827,0.009320026263594627,0.009341361001133919,0.1091943308711052,1.0090900659561157
750,1,0.07071399688720703,0.005442379973828793,0.06527161598205566,2.7016303539276123,0.009346102364361286,0.0093565434217453,0.10292479395866394,1.0010045766830444
800,1,0.06685065478086472,0.004634355194866657,0.06221630051732063,2.7193524837493896,0.01052774302661419,0.010524176061153412,0.10149934142827988,0.9949374198913574
850,1,0.06160402297973633,0.006494282744824886,0.05510973930358887,2.7178659439086914,0.01036213431507349,0.010376124642789364,0.09593161195516586,1.007203459739685
900,1,0.0724412277340889,0.006674535572528839,0.06576669216156006,2.4649484157562256,0.013345004059374332,0.013326701708137989,0.11143767833709717,1.0169024467468262
950,1,0.08753963559865952,0.006403970532119274,0.08113566786050797,2.798107624053955,0.014601629227399826,0.014600221067667007,0.13073202967643738,1.0166618824005127
1000,1,0.07916402071714401,0.0058129774406552315,0.07335104048252106,2.7151973247528076,0.010581440292298794,0.010573897510766983,0.11389534175395966,1.0066808462142944
1050,1,0.0772399976849556,0.004914385266602039,0.07232560962438583,2.7313506603240967,0.011384502053260803,0.011364543810486794,0.11364579200744629,1.0085160732269287
1100,1,0.07007371634244919,0.004955744370818138,0.0651179701089859,2.5235419273376465,0.009750841185450554,0.009732878766953945,0.10217514634132385,1.0021501779556274
1150,1,0.05835409834980965,0.004937688820064068,0.053416408598423004,2.886796236038208,0.008146960288286209,0.008147426880896091,0.08908246457576752,0.9859329462051392
1200,1,0.08451475948095322,0.006252744235098362,0.07826201617717743,2.8851590156555176,0.012439370155334473,0.012422572821378708,0.12380249798297882,0.9879353642463684
1250,1,0.07914457470178604,0.005835928022861481,0.07330864667892456,2.8381876945495605,0.011243607848882675,0.01123751513659954,0.115816630423069,0.9954492449760437
1300,1,0.05865383520722389,0.0053007639944553375,0.053353071212768555,3.5944883823394775,0.010162251070141792,0.010152879171073437,0.09694141149520874,0.9847358465194702
1350,1,0.09770374000072479,0.005792577750980854,0.09191115945577621,2.8115036487579346,0.01405685767531395,0.014054420404136181,0.13987253606319427,0.9919965267181396
1400,1,0.10915698111057281,0.006327416747808456,0.10282956063747406,2.8883471488952637,0.011684506200253963,0.011690577492117882,0.14697380363941193,0.98511803150177
1450,1,0.06833949685096741,0.004859438631683588,0.06348005682229996,2.808877944946289,0.012882981449365616,0.012869622558355331,0.10813648998737335,0.9840356707572937
