probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3204,0.2268,0.2264,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0195,0.0134,0.0142,1.9864,1.6501,0.0000,0.9965,0.9961
mlp,0.0190,0.0128,0.0140,1.9266,1.5937,0.0000,0.9968,0.9962
